Arcadia University (Glenside, PA)
Carlow University (Pittsburgh, PA)
Emmanuel College (Boston, MA)
Lesley University (Cambridge, MA)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Loyola Marymount University (Los Angeles, CA)
Marywood University (Scranton, PA)
Mercyhurst University (Erie, PA)
Millikin University (Decatur, IL)
Mount Mary College (Milwaukee, WI)
Nazareth College of Rochester (Rochester, NY)
New York University (New York, NY)
Notre Dame de Namur University (Belmont, CA)
Seton Hill University (Greensburg, PA)
Springfield College (Springfield, MA)
St. Thomas Aquinas College (Sparkill, NY)
Temple University (Philadelphia, PA)
The College of New Jersey (Ewing, NJ)
The George Washington University (Washington, DC)
The School of the Art Institute of Chicago (Chicago, IL)
University of Indianapolis (Indianapolis, IN)
University of Wisconsin &#8212; Superior (Superior, WI)
University of the Arts (Philadelphia, PA)
