Spelman College (Atlanta, GA): 97.05%
Mississippi Valley State University (Itta Bena, MS): 95.57%
South Carolina State University (Orangeburg, SC): 95.10%
Morris College (Sumter, SC): 94.92%
Morehouse College (Atlanta, GA): 94.29%
Claflin University (Orangeburg, SC): 93.65%
Rust College (Holly Springs, MS): 93.62%
Alabama State University (Montgomery, AL): 93.52%
Philander Smith College (Little Rock, AR): 93.50%
Southern University and A&M College (Baton Rouge, LA): 92.72%
Fort Valley State University (Fort Valley, GA): 92.07%
Dillard University (New Orleans, LA): 91.42%
Grambling State University (Grambling, LA): 90.12%
Clark Atlanta University (Atlanta, GA): 88.78%
Howard University (Washington, DC): 88.39%
Central State University (Wilberforce, OH): 88.18%
Florida Agricultural & Mechanical University (Tallahassee, FL): 85.45%
Bennett College (Greensboro, NC): 85.02%
Lincoln University (Lincoln University, PA): 84.73%
Johnson C. Smith University (Charlotte, NC): 84.59%
Saint Augustine's University (Raleigh, NC): 84.50%
Prairie View A&M University (Prairie View, TX): 84.39%
Harris&#8211;Stowe State University (St. Louis, MO): 82.34%
Savannah State University (Savannah, GA): 80.80%
North Carolina Agricultural & Technical State University (Greensboro, NC): 80.79%
Langston University (Langston, OK): 80.43%
St. Louis College of Pharmacy (St. Louis, MO): 80.00%
Morgan State University (Baltimore, MD): 79.78%
Bethune&#8211;Cookman University (Daytona Beach, FL): 79.67%
North Carolina Central University (Durham, NC): 77.68%
Xavier University of Louisiana (New Orleans, LA): 77.57%
Winston&#8211;Salem State University (Winston-Salem, NC): 75.87%
Tennessee State University (Nashville, TN): 74.78%
Albany State University (Albany, GA): 71.87%
University of the Virgin Islands (Charlotte Amalie, VI): 70.18%
University of Maryland, Eastern Shore (Princess Anne, MD): 69.88%
Elizabeth City State University (Elizabeth City, NC): 69.68%
Delaware State University (Dover, DE): 69.65%
Shaw University (Raleigh, NC): 64.98%
Huston&#8211;Tillotson University (Austin, TX): 62.11%
