Allegheny College (Meadville, PA)
Beloit College (Beloit, WI)
Bowdoin College (Brunswick, ME)
Carleton College (Northfield, MN)
Colorado College (Colorado Springs, CO)
Davidson College (Davidson, NC)
Earlham College (Richmond, IN)
Elon University (Elon, NC)
Haverford College (Haverford, PA)
Reed College (Portland, OR)
Sewanee: The University of the South (Sewanee, TN)
Skidmore College (Saratoga Springs, NY)
Whittier College (Whittier, CA)
Albion College (Albion, MI)
Ball State University (Muncie, IN)
Bates College (Lewiston, ME)
Bellarmine University (Louisville, KY)
Berea College (Berea, KY)
Bryn Mawr College (Bryn Mawr, PA)
Centenary College (Hackettstown, NJ)
Centre College (Danville, KY)
Clark University (Worcester, MA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Fordham University (New York, NY)
Gonzaga University (Spokane, WA)
Goucher College (Baltimore, MD)
Hamilton College (Clinton, NY)
Harvey Mudd College (Claremont, CA)
Hope College (Holland, MI)
Howard Payne University (Brownwood, TX)
Humboldt State University (Arcata, CA)
Indiana University Bloomington (Bloomington, IN)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Knox College (Galesburg, IL)
Lewis and Clark College (Portland, OR)
Linfield College (McMinnville, OR)
Loyola Marymount University (Los Angeles, CA)
Lynn University (Boca Raton, FL)
McDaniel College (Westminster, MD)
Middlebury College (Middlebury, VT)
New College of Florida (Sarasota, FL)
Oberlin College (Oberlin, OH)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rhodes College (Memphis, TN)
Sarah Lawrence College (Bronxville, NY)
Scripps College (Claremont, CA)
Sewanee: The University of the South (Sewanee, TN)
Smith College (Northampton, MA)
St. John's University (Collegeville, MN)
St. Lawrence University (Canton, NY)
St. Mary's College of California (Moraga, CA)
St. Olaf College (Northfield, MN)
Swarthmore College (Swarthmore, PA)
Sweet Briar College (Sweet Briar, VA)
The College of Wooster (Wooster, OH)
Union College (Schenectady, NY)
University of Tampa (Tampa, FL)
Washington and Lee University (Lexington, VA)
Wesleyan University (Middletown, CT)
Whitman College (Walla Walla, WA)
Willamette University (Salem, OR)
Wittenberg University (Springfield, OH)
Wofford College (Spartanburg, SC)
Yale University (New Haven, CT)
