Colorado College (Colorado Springs, CO)
Cornell College (Mount Vernon, IA)
Denison University (Granville, OH)
Dickinson College (Carlisle, PA)
Emory University (Atlanta, GA)
Northwestern University (Evanston, IL)
Princeton University (Princeton, NJ)
St. John Fisher College (Rochester, NY)
The University of Alabama (Tuscaloosa, AL)
University of Hawaii at Manoa (Honolulu, HI)
University of Notre Dame (Notre Dame, IN)
University of Richmond (University of Richmond, VA)
University of Virginia (Charlottesville, VA)
Vanderbilt University (Nashville, TN)
West Virginia University (Morgantown, WV)
