Amherst College (Amherst, MA)
Ave Maria University (Ave Maria, FL)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Baylor University (Waco, TX)
Belmont Abbey College (Belmont, NC)
Berry College (Mount Berry, GA)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowdoin College (Brunswick, ME)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
Bucknell University (Lewisburg, PA)
California Institute of Technology (Pasadena, CA)
Carnegie Mellon University (Pittsburgh, PA)
Centre College (Danville, KY)
Christendom College (Front Royal, VA)
Claremont McKenna College (Claremont, CA)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Fordham University (Bronx, NY)
Georgetown University (Washington, DC)
Gordon College (Wenham, MA)
Grinnell College (Grinnell, IA)
Grove City College (Grove City, PA)
Hampden&#8211;Sydney College (Hampden-Sydney, VA)
Harvard University (Cambridge, MA)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Hillsdale College (Hillsdale, MI)
Johns Hopkins University (Baltimore, MD)
Kenyon College (Gambier, OH)
Massachusetts Institute of Technology (Cambridge, MA)
Middlebury College (Middlebury, VT)
Mount Holyoke College (South Hadley, MA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Patrick Henry College (Purcellville, VA)
Pepperdine University (Malibu, CA)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Providence College (Providence, RI)
Rice University (Houston, TX)
Sarah Lawrence College (Bronxville, NY)
Scripps College (Claremont, CA)
Seton Hall University (South Orange, NJ)
Sewanee: The University of the South (Sewanee, TN)
Smith College (Northampton, MA)
Southern Methodist University (Dallas, TX)
St. John's College (Annapolis, MD)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
The Catholic University of America (Washington, DC)
The King's College (New York, NY)
The University of Chicago (Chicago, IL)
Thomas Aquinas College (Santa Paula, CA)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
University of Dallas (Irving, TX)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Southern California (Los Angeles, CA)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Villanova University (Villanova, PA)
Wabash College (Crawfordsville, IN)
Wake Forest University (Winston Salem, NC)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Wheaton College (Wheaton, IL)
Whitman College (Walla Walla, WA)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
