Alverno College (Milwaukee, WI)
Berea College (Berea, KY)
Daemen College (Amherst, NY)
George Mason University (Fairfax, VA): New Century College
Hampshire College (Amherst, MA)
Johnson C. Smith University (Charlotte, NC)
New College of Florida (Sarasota, FL)
New York University (New York, NY): Gallatin School of Individualized Study
Pitzer College (Claremont, CA)
Prescott College (Prescott, AZ)
Stockton University (Galloway, NJ)
The Evergreen State College (Olympia, WA)
Western Washington University (Bellingham, WA): Fairhaven College
