Albertus Magnus College (New Haven, CT)
Albion College (Albion, MI)
Allegheny College (Meadville, PA)
Alma College (Alma, MI)
American University (Washington, DC)
Arcadia University (Glenside, PA)
Ashland University (Ashland, OH)
Babson College (Babson Park, MA)
Baker University (Baldwin City, KS)
Baylor University (Waco, TX)
Belmont University (Nashville, TN)
Beloit College (Beloit, WI)
Benedictine University (Lisle, IL)
Bentley University (Waltham, MA)
Biola University (La Mirada, CA)
Boston College (Chestnut Hill, MA)
Brevard College (Brevard, NC)
Bryant University (Smithfield, RI)
Bucknell University (Lewisburg, PA)
Butler University (Indianapolis, IN)
Calvin University (Grand Rapids, MI)
Carnegie Mellon University (Pittsburgh, PA)
Case Western Reserve University (Cleveland, OH)
Chapman University (Orange, CA)
Christopher Newport University (Newport News, VA)
Claremont McKenna College (Claremont, CA)
Clark Atlanta University (Atlanta, GA)
Clark University (Worcester, MA)
Clarkson University (Potsdam, NY)
Coastal Carolina University (Conway, SC)
Coe College (Cedar Rapids, IA)
College of St. Benedict (St. Joseph, MN)
College of William and Mary (Williamsburg, VA)
Concordia University &#8212; Irvine (Irvine, CA)
Creighton University (Omaha, NE)
DePauw University (Greencastle, IN)
Dean College (Franklin, MA)
Dillard University (New Orleans, LA)
Dordt College (Sioux Center, IA)
Drake University (Des Moines, IA)
Drew University (Madison, NJ)
Duquesne University (Pittsburgh, PA)
East Tennessee State University (Johnson City, TN)
Eastern Washington University (Cheney, WA)
Eckerd College (St. Petersburg, FL)
Elon University (Elon, NC)
Emory University (Atlanta, GA)
Fairfield University (Fairfield, CT)
Fordham University (New York, NY)
Georgetown University (Washington, DC)
Georgia Institute of Technology (Atlanta, GA)
Georgia Southern University (Statesboro, GA)
Gonzaga University (Spokane, WA)
Grand Canyon University (Phoenix, AZ)
Grove City College (Grove City, PA)
Gustavus Adolphus College (St. Peter, MN)
Hamline University (St. Paul, MN)
Hartwick College (Oneonta, NY)
Hofstra University (Hempstead, NY)
Hope College (Holland, MI)
Houston Baptist University (Houston, TX)
Illinois Institute of Technology (Chicago, IL)
Indiana University Northwest (Gary, IN)
Indiana University Southeast (New Albany, IN)
Iona College (New Rochelle, NY)
Jacksonville State University (Jacksonville, AL)
Jacksonville University (Jacksonville, FL)
James Madison University (Harrisonburg, VA)
John Carroll University (University Heights, OH)
Lake Forest College (Lake Forest, IL)
Lehigh University (Bethlehem, PA)
Linfield College (McMinnville, OR)
Lipscomb University (Nashville, TN)
Loyola Marymount University (Los Angeles, CA)
Loyola University Chicago (Chicago, IL)
Loyola University Maryland (Baltimore, MD)
Loyola University New Orleans (New Orleans, LA)
Manhattan College (Riverdale, NY)
Marist College (Poughkeepsie, NY)
Marquette University (Milwaukee, WI)
Marshall University (Huntington, WV)
Massachusetts Institute of Technology (Cambridge, MA)
Massachusetts, University of, Lowell (Lowell, MA)
McDaniel College (Westminster, MD)
Mercer University (Macon, GA)
Millikin University (Decatur, IL)
Millsaps College (Jackson, MS)
Monmouth University (West Long Branch, NJ)
Montclair State University (Montclair, NJ)
Moravian College (Bethlehem, PA)
Muhlenberg College (Allentown, PA)
New England College (Henniker, NH)
Nichols College (Dudley, MA)
North Central College (Naperville, IL)
North Park University (Chicago, IL)
Northwood University &#8212; Michigan Campus (Midland, MI)
Notre Dame de Namur University (Belmont, CA)
Ohio Wesleyan University (Delaware, OH)
Pace University (New York, NY)
Pacific Lutheran University (Tacoma, WA)
Pacific University Oregon (Forest Grove, OR)
Pepperdine University (Malibu, CA)
Providence College (Providence, RI)
Quinnipiac University (Hamden, CT)
Radford University (Radford, VA)
Regent University (Virginia Beach, VA)
Rensselaer Polytechnic Institute (Troy, NY)
Rhodes College (Memphis, TN)
Rider University (Lawrenceville, NJ)
Roanoke College (Salem, VA)
Rockhurst University (Kansas City, MO)
Roger Williams University (Bristol, RI)
Rollins College (Winter Park, FL)
Roosevelt University (Chicago, IL)
Rutgers, the State University of New Jersey &#8212; Camden (Camden, NJ)
Saint Anselm College (Manchester, NH)
Saint Joseph's University (Philadelphia, PA)
Saint Michael's College (Colchester, VT)
Salve Regina University (Newport, RI)
Samford University (Birmingham, AL)
Santa Clara University (Santa Clara, CA)
Schreiner University (Kerrville, TX)
Seattle Pacific University (Seattle, WA)
Seattle University (Seattle, WA)
Seton Hall University (South Orange, NJ)
Southern Methodist University (Dallas, TX)
Southern New Hampshire University (Manchester, NH)
Southern Oregon University (Ashland, OR)
St. Bonaventure University (St. Bonaventure, NY)
St. Cloud State University (St. Cloud, MN)
St. Louis University (St. Louis, MO)
St. Mary's College of California (Moraga, CA)
St. Mary's University of San Antonio (San Antonio, TX)
Stetson University (Deland, FL)
Suffolk University (Boston, MA)
Susquehanna University (Selinsgrove, PA)
Taylor University (Upland, IN)
Texas Christian University (Fort Worth, TX)
The College of Wooster (Wooster, OH)
The University of Tulsa (Tulsa, OK)
Tulane University (New Orleans, LA)
Tuskegee University (Tuskegee, AL)
Union College (Schenectady, NY)
University of Alabama, Huntsville (Huntsville, AL)
University of Alaska, Southeast (Juneau, AK)
University of Colorado Colorado Springs (Colorado Springs, CO)
University of Dallas (Irving, TX)
University of Dayton (Dayton, OH)
University of Denver (Denver, CO)
University of Evansville (Evansville, IN)
University of Houston &#8212; Clear Lake (Houston, TX)
University of La Verne (La Verne, CA)
University of Mary Washington (Fredericksburg, VA)
University of Massachusetts Boston (Boston, MA)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Dearborn (Dearborn, MI)
University of Minnesota &#8212; Duluth (Duluth, MN)
University of Missouri &#8212; Kansas City (Kansas City, MO)
University of Missouri&#8212;St. Louis (St. Louis, MO)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of New Haven (West Haven, CT)
University of North Carolina at Greensboro (Greensboro, NC)
University of North Dakota (Grand Forks, ND)
University of Northern Iowa (Cedar Falls, IA)
University of Notre Dame (Notre Dame, IN)
University of Portland (Portland, OR)
University of Puget Sound (Tacoma, WA)
University of Rhode Island (Kingston, RI)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
University of Saint Thomas (St. Paul, MN)
University of San Diego (San Diego, CA)
University of San Francisco (San Francisco, CA)
University of Scranton (Scranton, PA)
University of South Alabama (Mobile, AL)
University of Tampa (Tampa, FL)
University of Tennessee at Martin (Martin, TN)
University of Texas at Dallas (Richardson, TX)
University of Texas at Tyler (Tyler, TX)
University of Vermont (Burlington, VT)
University of West Florida (Pensacola, FL)
University of West Georgia (Carrollton, GA)
University of Wisconsin &#8212; Oshkosh (Oshkosh, WI)
Ursinus College (Collegeville, PA)
Valparaiso University (Valparaiso, IN)
Villanova University (Villanova, PA)
Wake Forest University (Winston Salem, NC)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Western Carolina University (Cullowhee, NC)
Western New England University (Springfield, MA)
Wheaton College (Wheaton, IL)
Wheeling Jesuit University (Wheeling, WV)
Wichita State University (Wichita, KS)
William Jewell College (Liberty, MO)
Wofford College (Spartanburg, SC)
Worcester Polytechnic Institute (Worcester, MA)
Wright State University (Dayton, OH)
Xavier University (Cincinnati, OH)
