Agnes Scott College (Decatur, GA): Africana Studies
American University (Washington, DC): African American/African Diaspora Studies
Amherst College (Amherst, MA): Black Studies
Arizona State University &#8212; Tempe Campus (Tempe, AZ): African/African American Studies
Augustana College (Rock Island, IL): Africana Studies
Bard College (Annandale-on-Hudson, NY): Africana Studies
Bard College at Simon's Rock (Great Barrington, MA): African American/African Studies
Barnard College (New York, NY): Africana Studies
Bates College (Lewiston, ME): African American Studies
Berea College (Berea, KY): African/African American Studies
Binghamton University, The State University of New York (Binghamton, NY): Africana Studies
Boston University (Boston, MA): Middle East/North Africa Studies
Bowdoin College (Brunswick, ME): Africana Studies
Bowling Green State University (Bowling Green, OH): Africana Studies
Brandeis University (Waltham, MA): African/African American Studies
Brown University (Providence, RI): African/African American Studies
CUNY &#8212; Brooklyn College (Brooklyn, NY): Africana Studies
CUNY &#8212; City College (New York, NY): Black Studies
CUNY &#8212; Hunter College (New York, NY): Africana/Puerto Rican/Latino Studies
CUNY &#8212; Lehman College (Bronx, NY): Black Studies
CUNY &#8212; Queens College (Queens, NY): Africana Studies; Africana Studies/Social Studies/7-12
CUNY &#8212; York College (Jamaica, NY): Black Studies
Cabrini University (Radnor, PA): Black Studies
California State University, Dominguez Hills (Carson, CA): African American Studies
California State University, Fresno (Fresno, CA): Africana Studies
California State University, Long Beach (Long Beach, CA): Black Studies
California State University, Los Angeles (Los Angeles, CA): African American Studies
California State University, Northridge (Northridge, CA): African American Studies
California State University, Sacramento (Sacramento, CA): African Studies
Carleton College (Northfield, MN): African American/African Studies
Carleton University (Ottawa, Ontario, CN): Africa/Globalization; African Studies
Chicago State University (Chicago, IL): African American Studies
Claremont McKenna College (Claremont, CA): Africana Studies
Coe College (Cedar Rapids, IA): African American Studies
Colby College (Waterville, ME): African American Studies
Colgate University (Hamilton, NY): Africana/Latin American Studies
College of Charleston (Charleston, SC): African American Studies
College of Staten Island CUNY (Staten Island, NY): African American Studies
College of William and Mary (Williamsburg, VA): Africana Studies
College of the Holy Cross (Worcester, MA): African Studies
Columbia University (New York, NY): African Studies; African American/Black Studies; Middle Eastern/South Asian/African Studies
Connecticut College (New London, CT): Africana Studies
Cornell University (Ithaca, NY): Africana Studies
Dartmouth College (Hanover, NH): African American/African Studies
Davidson College (Davidson, NC): Africana Studies
DePaul University (Chicago, IL): African/Black Diaspora Studies
DePauw University (Greencastle, IN): Africana Studies
Denison University (Granville, OH): Black Studies
Dickinson College (Carlisle, PA): African Studies
Dominican University (River Forest, IL): Black World Studies
Drew University (Madison, NJ): Pan African Studies
Duke University (Durham, NC): African/African American Studies
Earlham College (Richmond, IN): African American/African Studies
East Carolina University (Greenville, NC): African/African American Studies
Eastern Michigan University (Ypsilanti, MI): African American Studies
Emory University (Atlanta, GA): African Studies; African American Studies
Florida Agricultural & Mechanical University (Tallahassee, FL): African American Studies
Fordham University (Bronx, NY): African American/African Studies
Franklin & Marshall College (Lancaster, PA): Africana Studies
Georgia State University (Atlanta, GA): African American Studies
Gettysburg College (Gettysburg, PA): Africana Studies
Guilford College (Greensboro, NC): African American Studies
Hamilton College (Clinton, NY): Africana Studies
Hampshire College (Amherst, MA): Africana Studies
Harvard University (Cambridge, MA): African/African American Studies
Hobart and William Smith Colleges (Geneva, NY): Africana Studies
Hofstra University (Hempstead, NY): Africana Studies
Howard University (Washington, DC): African Studies; Afro-American Studies
Indiana State University (Terre Haute, IN): African/African American Studies
Indiana University &#8212; Purdue University Indianapolis (Indianapolis, IN): Africana Studies
Indiana University Bloomington (Bloomington, IN): African American/Diaspora Studies
Indiana University Northwest (Gary, IN): African American/Diaspora Studies
Johns Hopkins University (Baltimore, MD): Africana Studies
Kennesaw State University (Kennesaw, GA): African/African Diaspora Studies
Kent State University (Kent, OH): Pan African Studies
Kentucky State University (Frankfort, KY): Africana Studies
Knox College (Galesburg, IL): Africana Studies
Lafayette College (Easton, PA): Africana Studies
Lake Forest College (Lake Forest, IL): African American Studies
Lehigh University (Bethlehem, PA): Africana Studies
Lincoln University (Lincoln University, PA): Pan African Studies
Loyola Marymount University (Los Angeles, CA): African American Studies
Loyola University Chicago (Chicago, IL): African Studies; Black World Studies
Luther College (Decorah, IA): Africana Studies
Manhattanville College (Purchase, NY): Asian/Middle Eastern/North African Studies
Marquette University (Milwaukee, WI): Interdisciplinary African Studies
McGill University (Montreal, Quebec, CN)
Miami University &#8212; Oxford (Oxford, OH): Black World Studies
Michigan State University (East Lansing, MI): African American Studies
Middle Tennessee State University (Murfreesboro, TN): Africana Studies
Middlebury College (Middlebury, VT): African Studies
Morehouse College (Atlanta, GA): African American Studies
Mount Holyoke College (South Hadley, MA): Africana Studies
New York University (New York, NY): Africana Studies
North Carolina Agricultural & Technical State University (Greensboro, NC): English/African American Literature; Liberal Studies/African American Studies
North Park University (Chicago, IL): Africana Studies
Northeastern University (Boston, MA): African American Studies
Northwestern University (Evanston, IL): African American Studies
Oberlin College (Oberlin, OH): Africana Studies
Ohio University (Athens, OH): African American Studies
Ohio Wesleyan University (Delaware, OH): Black World Studies
Old Dominion University (Norfolk, VA): African American/African Studies
Pennsylvania State University &#8212; Abington (Abington, PA): African Studies; African American Studies; African/African American Studies
