Baldwin Wallace University (Berea, OH)
Barnard College (New York, NY)
Boston University (Boston, MA)
Bradley University (Peoria, IL)
Bucknell University (Lewisburg, PA)
California State University &#8212; Northridge (Northridge, CA)
Carnegie Mellon University (Pittsburgh, PA)
Cleveland Institute of Music (Cleveland, OH)
Curtis Institute of Music (Philadelphia, PA)
DePauw University (Greencastle, IN)
Duquesne University (Pittsburgh, PA)
Emory University (Atlanta, GA)
Gettysburg College (Gettysburg, PA)
Gustavus Adolphus College (St. Peter, MN)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
James Madison University (Harrisonburg, VA)
Johns Hopkins University (Baltimore, MD)
Juilliard School (New York, NY)
Lawrence University (Appleton, WI)
Longwood University (Farmville, VA)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Loyola University New Orleans (New Orleans, LA)
Manhattan School of Music (New York, NY)
Mannes College The New School for Music (New York, NY)
Miami University &#8212; Oxford (Oxford, OH)
Montclair State University (Montclair, NJ)
Moravian College (Bethlehem, PA)
New England Conservatory of Music (Boston, MA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Occidental College (Los Angeles, CA)
Ohio Northern University (Ada, OH)
Otterbein University (Westerville, OH)
Rice University (Houston, TX)
Rider University (Lawrenceville, NJ)
SUNY &#8212; Binghamton (Binghamton, NY)
SUNY &#8212; Purchase College (Purchase, NY)
SUNY &#8212; University at Buffalo (Buffalo, NY)
San Francisco Conservatory of Music (San Francisco, CA)
Seton Hall University (South Orange, NJ)
Shenandoah University (Winchester, VA)
Southern Methodist University (Dallas, TX)
St. Olaf College (Northfield, MN)
Susquehanna University (Selinsgrove, PA)
Syracuse University (Syracuse, NY)
Temple University (Philadelphia, PA)
The Boston Conservatory (Boston, MA)
The Catholic University of America (Washington, DC)
Towson University (Towson, MD)
Tufts University (Medford, MA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Cincinnati (Cincinnati, OH)
University of Colorado, Boulder (Boulder, CO)
University of Delaware (Newark, DE)
University of Hartford (West Hartford, CT)
University of Iowa (Iowa City, IA)
University of Maryland, College Park (College Park, MD)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina School of the Arts (Winston-Salem, NC)
University of Oregon (Eugene, OR)
University of Redlands (Redlands, CA)
University of Richmond (University of Richmond, VA)
University of Rochester (Rochester, NY)
University of Southern California (Los Angeles, CA)
University of Southern Maine (Gorham, ME)
University of Toronto (Toronto, Ontario, CAN)
Vanderbilt University (Nashville, TN)
Virginia Commonwealth University (Richmond, VA)
Washington University in St. Louis (St. Louis, MO)
Willamette University (Salem, OR)
Yale University (New Haven, CT)
