Alfred University (Alfred, NY)
American University (Washington, DC)
Bard College (Annandale on Hudson, NY)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
Carleton College (Northfield, MN)
Clark University (Worcester, MA)
Columbia College Chicago (Chicago, IL)
Columbia University (New York, NY)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
DePaul University (Chicago, IL)
Drew University (Madison, NJ)
Earlham College (Richmond, IN)
Emerson College (Boston, MA)
Eugene Lang College The New School for Liberal Arts (New York, NY)
Franklin W. Olin College of Engineering (Needham, MA)
Georgetown University (Washington, DC)
Goucher College (Baltimore, MD)
Grinnell College (Grinnell, IA)
Guilford College (Greensboro, NC)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Hofstra University (Hempstead, NY)
Illinois Institute of Technology (Chicago, IL)
Indiana University Bloomington (Bloomington, IN)
Lawrence University (Appleton, WI)
Lewis and Clark College (Portland, OR)
Macalester College (St. Paul, MN)
Manhattan College (Riverdale, NY)
Marymount California University (Rancho Palos Verdes, CA)
Michigan State University (East Lansing, MI)
Michigan Technological University (Houghton, MI)
Mills College (Oakland, CA)
Monmouth University (West Long Branch, NJ)
Mount Holyoke College (South Hadley, MA)
New College of Florida (Sarasota, FL)
New York University (New York, NY)
Northeastern University (Boston, MA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Occidental College (Los Angeles, CA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Reed College (Portland, OR)
Rice University (Houston, TX)
Roosevelt University (Chicago, IL)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
Sarah Lawrence College (Bronxville, NY)
Seattle University (Seattle, WA)
Skidmore College (Saratoga Springs, NY)
Smith College (Northampton, MA)
St. John's College (Annapolis, MD)
St. John's College (Santa Fe, NM)
Swarthmore College (Swarthmore, PA)
Syracuse University (Syracuse, NY)
The George Washington University (Washington, DC)
The University of Texas at Austin (Austin, TX)
Towson University (Towson, MD)
Union College (Schenectady, NY)
University of California, Berkeley (Berkeley, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Chicago (Chicago, IL)
University of Connecticut (Storrs, CT)
University of Iowa (Iowa City, IA)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Pennsylvania (Philadelphia, PA)
University of Scranton (Scranton, PA)
University of Vermont (Burlington, VT)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vassar College (Poughkeepsie, NY)
Wagner College (Staten Island, NY)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
