Alfred State College (Alfred, NY)
Allegheny College (Meadville, PA)
Auburn University (Auburn, AL)
Baylor University (Waco, TX)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Boston University (Boston, MA)
Brigham Young University &#8212; Provo (Provo, UT)
California Institute of Technology (Pasadena, CA)
California Maritime Academy (Vallejo, CA)
California Polytechnic State University &#8212; San Luis Obispo (San Luis Obispo, CA)
California State Polytechnic University &#8212; Pomona (Pomona, CA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Long Beach (Long Beach, CA)
California State University &#8212; Los Angeles (Los Angeles, CA)
California State University &#8212; Northridge (Northridge, CA)
Central Connecticut State University (New Britain, CT)
Clemson University (Clemson, SC)
Colorado School of Mines (Golden, CO)
Colorado State University (Fort Collins, CO)
Columbia University (New York, NY)
Florida Institute of Technology (Melbourne, FL)
Fordham University (New York, NY)
George Mason University (Fairfax, VA)
Georgia Institute of Technology (Atlanta, GA)
Humboldt State University (Arcata, CA)
Illinois Institute of Technology (Chicago, IL)
Iowa State University (Ames, IA)
Johns Hopkins University (Baltimore, MD)
Kettering University (Flint, MI)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Massachusetts, University of, Lowell (Lowell, MA)
McGill University (Montreal, CAN)
Michigan State University (East Lansing, MI)
Milwaukee School of Engineering (Milwaukee, WI)
New Jersey Institute of Technology (Newark, NJ)
New York Institute of Technology (Old Westbury, NY)
New York University (New York, NY)
New York University (New York, NY)
Northeastern University (Boston, MA)
Northern Arizona University (Flagstaff, AZ)
Northern Illinois University (DeKalb, IL)
Northwestern University (Evanston, IL)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio University (Athens, OH)
Old Dominion University (Norfolk, VA)
Oregon Institute of Technology (Klamath Falls, OR)
Oregon State University (Corvallis, OR)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rensselaer Polytechnic Institute (Troy, NY)
Rochester Institute of Technology (Rochester, NY)
Rose&#8211;Hulman Institute of Technology (Terre Haute, IN)
Rowan University (Glassboro, NJ)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; New Paltz (New Paltz, NY)
SUNY &#8212; Stony Brook (Stony Brook, NY)
South Dakota School of Mines and Technology (Rapid City, SD)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
St. Cloud State University (St. Cloud, MN)
Stanford University (Stanford, CA)
Stevens Institute of Technology (Hoboken, NJ)
Syracuse University (Syracuse, NY)
Texas A&M University &#8212; College Station (College Station, TX)
Texas State University &#8212; San Marcos (San Marcos, TX)
Texas Tech University (Lubbock, TX)
The Cooper Union (New York, NY)
The George Washington University (Washington, DC)
The University of Arizona (Tucson, AZ)
The University of New Mexico (Albuquerque, NM)
The University of Utah (Salt Lake City, UT)
University of California, Berkeley (Berkeley, CA)
University of California, Irvine (Irvine, CA)
University of California, San Diego (La Jolla, CA)
University of Central Florida (Orlando, FL)
University of Cincinnati (Cincinnati, OH)
University of Dayton (Dayton, OH)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Hartford (West Hartford, CT)
University of Kentucky (Lexington, KY)
University of Michigan &#8212; Dearborn (Dearborn, MI)
University of Minnesota &#8212; Duluth (Duluth, MN)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Mississippi (University, MS)
University of Missouri &#8212; Columbia (Columbia, MO)
University of New Hampshire (Durham, NH)
University of North Carolina at Charlotte (Charlotte, NC)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Pittsburgh (Pittsburgh, PA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Southern California (Los Angeles, CA)
University of Toledo (Toledo, OH)
University of Wisconsin &#8212; Madison (Madison, WI)
University of Wyoming (Laramie, WY)
Vanderbilt University (Nashville, TN)
Villanova University (Villanova, PA)
Virginia Commonwealth University (Richmond, VA)
Washington State University (Pullman, WA)
Wayne State University (Detroit, MI)
Webb Institute (Glen Cove, NY)
Wentworth Institute of Technology (Boston, MA)
Western Michigan University (Kalamazoo, MI)
Wilkes University (Wilkes-Barre, PA)
Yale University (New Haven, CT)
