Alfred University (Alfred, NY)
Brown University (Providence, RI)
Bucknell University (Lewisburg, PA)
California Institute of Technology (Pasadena, CA)
Campbell University (Buies Creek, NC)
Carnegie Mellon University (Pittsburgh, PA)
Case Western Reserve University (Cleveland, OH)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Drexel University (Philadelphia, PA)
Duke University (Durham, NC)
Georgia Institute of Technology (Atlanta, GA)
Gonzaga University (Spokane, WA)
Johns Hopkins University (Baltimore, MD)
Lehigh University (Bethlehem, PA)
Marquette University (Milwaukee, WI)
Massachusetts Institute of Technology (Cambridge, MA)
Miami University &#8212; Oxford (Oxford, OH)
North Carolina Agricultural & Technical State University (Greensboro, NC)
Rice University (Houston, TX)
SUNY &#8212; Binghamton (Binghamton, NY)
Seattle University (Seattle, WA)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
University of Rochester (Rochester, NY)
Washington University in St. Louis (St. Louis, MO)
