Adelphi University (Garden City, NY)
Agnes Scott College (Decatur, GA)
Albion College (Albion, MI)
Alverno College (Milwaukee, WI)
Baker University (Baldwin City, KS)
Bard College (Annandale on Hudson, NY)
Bethany College (Bethany, WV)
Bryant University (Smithfield, RI)
Buena Vista University (Storm Lake, IA)
Calvin University (Grand Rapids, MI)
Carthage College (Kenosha, WI)
Cornell College (Mount Vernon, IA)
Creighton University (Omaha, NE)
Defiance College (Defiance, OH)
Drake University (Des Moines, IA)
Eckerd College (St. Petersburg, FL)
Elmira College (Elmira, NY)
Fisk University (Nashville, TN)
Franklin Pierce University (Rindge, NH)
Gonzaga University (Spokane, WA)
Hamline University (St. Paul, MN)
Hartwick College (Oneonta, NY)
Jacksonville University (Jacksonville, FL)
Juniata College (Huntingdon, PA)
Linfield College (McMinnville, OR)
Lynchburg College (Lynchburg, VA)
Manhattan College (Riverdale, NY)
Manhattanville College (Purchase, NY)
Marietta College (Marietta, OH)
Mary Baldwin College (Staunton, VA)
Millikin University (Decatur, IL)
Misericordia University (Dallas, PA)
Moravian College (Bethlehem, PA)
Morningside College (Sioux City, IA)
Muskingum University (New Concord, OH)
Oglethorpe University (Atlanta, GA)
Ohio Wesleyan University (Delaware, OH)
Otterbein University (Westerville, OH)
Pacific University Oregon (Forest Grove, OR)
Randolph&#8211;Macon College (Ashland, VA)
Regis University (Denver, CO)
Ripon College (Ripon, WI)
Roanoke College (Salem, VA)
Roger Williams University (Bristol, RI)
St. John's University (Collegeville, MN)
Stephen F. Austin State University (Nacogdoches, TX)
The Catholic University of America (Washington, DC)
University of Evansville (Evansville, IN)
University of La Verne (La Verne, CA)
University of Mississippi (University, MS)
University of Portland (Portland, OR)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of the Pacific (Stockton, CA)
Washington College (Chestertown, MD)
Wells College (Aurora, NY)
Western New England University (Springfield, MA)
Westminster College (Fulton, MO)
Westminster College (Salt Lake City, UT)
Whittier College (Whittier, CA)
William Jewell College (Liberty, MO)
Wittenberg University (Springfield, OH)
