College of Charleston (Charleston, SC)
Eastern Connecticut State University (Willimantic, CT)
Fort Lewis College (Durango, CO)
Georgia College and State University (Milledgeville, GA)
Henderson State University (Arkadelphia, AR)
Keene State College (Keene, NH)
Mansfield University of Pennsylvania (Mansfield, PA)
Massachusetts College of Liberal Arts (North Adams, MA)
Midwestern State University (Wichita Falls, TX)
New College of Florida (Sarasota, FL)
Ramapo College of New Jersey (Mahwah, NJ)
SUNY &#8212; Geneseo (Geneseo, NY)
Shepherd University (Shepherdstown, WV)
Sonoma State University (Rohnert Park, CA)
Southern Oregon University (Ashland, OR)
Southern Utah University (Cedar City, UT)
St. Mary's College of Maryland (St. Mary's City, MD)
The Evergreen State College (Olympia, WA)
Truman State University (Kirksville, MO)
University of Alberta (Edmonton, CAN)
University of Illinois Springfield (Springfield, IL)
University of Maine &#8212; Farmington (Farmington, ME)
University of Mary Washington (Fredericksburg, VA)
University of Minnesota &#8212; Morris (Morris, MN)
University of Montevallo (Montevallo, AL)
University of North Carolina at Asheville (Asheville, NC)
University of Science and Arts of Oklahoma (Chickasha, OK)
University of South Carolina, Aiken (Aiken, SC)
University of Virginia &#8212; Wise (Wise, VA)
University of Wisconsin &#8212; Superior (Superior, WI)
