Acadia University (Wolfville, CN)
Adams State University (Alamosa, CO)
Alabama State University (Montgomery, AL)
Albany State University (Albany, GA)
Alcorn State University (Alcorn State, MS)
Alfred State College (Alfred, NY)
Angelo State University (San Angelo, TX)
Arizona State University &#8212; Downtown Phoenix Campus (Phoenix, AZ)
Arizona State University &#8212; Polytechnic Campus (Mesa, AZ)
Arizona State University &#8212; West Campus (Glendale, AZ)
Athens State University (Athens, AL)
Auburn University at Montgomery (Montgomery, AL)
Augusta University (Augusta, GA)
Austin Peay State University (Clarksville, TN)
Bemidji State University (Bemidji, MN)
Black Hills State University (Spearfish, SD)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Bluefield State College (Bluefield, WV)
Bowie State University (Bowie, MD)
CUNY &#8212; Medgar Evers College (Brooklyn, NY)
CUNY &#8212; York College (Jamaica, NY)
California Maritime Academy (Vallejo, CA)
California State University, Bakersfield (Bakersfield, CA)
California State University, Channel Islands (Camarillo, CA)
California State University, Monterey Bay (Seaside, CA)
California State University, Stanislaus (Turlock, CA)
California University of Pennsylvania (California, PA)
Cameron University (Lawton, OK)
Cardiff Metropolitan University (Cardiff, UK)
Central Connecticut State University (New Britain, CT)
Central State University (Wilberforce, OH)
Charter Oak State College (New Britain, CT)
Cheyney University of Pennsylvania (Cheyney, PA)
Chicago State University (Chicago, IL)
Christopher Newport University (Newport News, VA)
Clarion University of Pennsylvania (Clarion, PA)
Clayton State University (Morrow, GA)
Coastal Carolina University (Conway, SC)
College of Charleston (Charleston, SC)
College of William and Mary (Williamsburg, VA)
Colorado Mesa University (Grand Junction, CO)
Colorado School of Mines (Golden, CO)
Colorado State University &#8212; Pueblo (Pueblo, CO)
Columbus State University (Columbus, GA)
Concord University (Athens, WV)
Conservatory of Music of Puerto Rico (San Juan, PR)
Dakota State University (Madison, SD)
Delaware State University (Dover, DE)
Delta State University (Cleveland, MS)
Dickinson State University (Dickinson, ND)
Dixie State University (Saint George, UT)
East Central University (Ada, OK)
East Stroudsburg University of Pennsylvania (East Stroudsburg, PA)
Eastern Connecticut State University (Willimantic, CT)
Eastern Illinois University (Charleston, IL)
Eastern New Mexico University (Portales, NM)
Eastern Oregon University (La Grande, OR)
Edinboro University of Pennsylvania (Edinboro, PA)
Elizabeth City State University (Elizabeth City, NC)
Emporia State University (Emporia, KS)
Fairmont State University (Fairmont, WV)
Farmingdale State College, SUNY (Farmingdale, NY)
Fashion Institute of Technology (New York, NY)
Fayetteville State University (Fayetteville, NC)
Fitchburg State University (Fitchburg, MA)
Florida Agricultural & Mechanical University (Tallahassee, FL)
Florida Polytechnic University (Lakeland, FL)
Fort Lewis College (Durango, CO)
Fort Valley State University (Fort Valley, GA)
Framingham State University (Framingham, MA)
Francis Marion University (Florence, SC)
Frostburg State University (Frostburg, MD)
Georgia College & State University (Milledgeville, GA)
Georgia Southwestern State University (Americus, GA)
Glenville State College (Glenville, WV)
Gloucestershire, University of (Cheltenham, UK)
Gordon State College (Barnesville, GA)
Governors State University (University Park, IL)
Grambling State University (Grambling, LA)
Great Basin College (Elko, NV)
Harris&#8211;Stowe State University (St. Louis, MO)
Henderson State University (Arkadelphia, AR)
Humboldt State University (Arcata, CA)
Indiana University East (Richmond, IN)
Indiana University Kokomo (Kokomo, IN)
Indiana University Northwest (Gary, IN)
Indiana University South Bend (South Bend, IN)
Indiana University Southeast (New Albany, IN)
Indiana University of Pennsylvania (Indiana, PA)
