Lee University (Cleveland, TN)
Earlham College (Richmond, IN)
Hartwick College (Oneonta, NY)
Austin College (Sherman, TX)
Centre College (Danville, KY)
St. Olaf College (Northfield, MN)
Lewis and Clark College (Portland, OR)
Kalamazoo College (Kalamazoo, MI)
Colby College (Waterville, ME)
Colorado College (Colorado Springs, CO)
Linfield College (McMinnville, OR)
Wofford College (Spartanburg, SC)
Dickinson College (Carlisle, PA)
Transylvania University (Lexington, KY)
Willamette University (Salem, OR)
DePauw University (Greencastle, IN)
Luther College (Decorah, IA)
Rhodes College (Memphis, TN)
Concordia College &#8212; Moorhead (Moorhead, MN)
Goucher College (Baltimore, MD)
Berea College (Berea, KY)
Bates College (Lewiston, ME)
Taylor University (Upland, IN)
University of Dallas (Irving, TX)
Oberlin College (Oberlin, OH)
