University of Denver (Denver, CO)
University of San Diego (San Diego, CA)
Wake Forest University (Winston Salem, NC)
New York University (New York, NY)
American University (Washington, DC)
Pepperdine University (Malibu, CA)
Stanford University (Stanford, CA)
University of St. Thomas (St. Paul, MN)
Dartmouth College (Hanover, NH)
Duke University (Durham, NC)
Yale University (New Haven, CT)
University of Notre Dame (Notre Dame, IN)
Boston College (Chestnut Hill, MA)
Georgetown University (Washington, DC)
Boston University (Boston, MA)
Washington University in St. Louis (St. Louis, MO)
Syracuse University (Syracuse, NY)
The George Washington University (Washington, DC)
Tufts University (Medford, MA)
College of William and Mary (Williamsburg, VA)
