Baylor University (Waco, TX)
Clemson University (Clemson, SC)
Duke University (Durham, NC)
Georgia Institute of Technology (Atlanta, GA)
Louisiana State University (Baton Rouge, LA)
Ohio State University &#8212; Columbus (Columbus, OH)
Oklahoma State University (Stillwater, OK)
Pepperdine University (Malibu, CA)
Stanford University (Stanford, CA)
Texas A&M University &#8212; College Station (College Station, TX)
Texas Christian University (Fort Worth, TX)
Texas Tech University (Lubbock, TX)
The University of Alabama (Tuscaloosa, AL)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Kentucky (Lexington, KY)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Mississippi (University, MS)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
Vanderbilt University (Nashville, TN)
