Arizona State University (Tempe, AZ)
Auburn University at Montgomery (Montgomery, AL)
Baylor University (Waco, TX)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Brigham Young University &#8212; Provo (Provo, UT)
California State University &#8212; Fresno (Fresno, CA)
Cameron University (Lawton, OK)
Clemson University (Clemson, SC)
College of William and Mary (Williamsburg, VA)
Duke University (Durham, NC)
Georgetown College (Georgetown, KY)
Georgia Institute of Technology (Atlanta, GA)
Indiana University Bloomington (Bloomington, IN)
Northwestern University (Evanston, IL)
Pepperdine University (Malibu, CA)
Skidmore College (Saratoga Springs, NY)
South Carolina State University (Orangeburg, SC)
Stanford University (Stanford, CA)
Texas Christian University (Fort Worth, TX)
The Florida State University (Tallahassee, FL)
The University of Texas at Austin (Austin, TX)
University of Arkansas (Fayetteville, AR)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Florida (Gainesville, FL)
University of Kentucky (Lexington, KY)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Southern California (Los Angeles, CA)
University of Tennessee at Knoxville (Knoxville, TN)
Vanderbilt University (Nashville, TN)
Wake Forest University (Winston Salem, NC)
Xavier University (Cincinnati, OH)
