American University (Washington, DC)
Appalachian Bible College (Mount Hope, WV)
Arcadia University (Glenside, PA)
Belhaven University (Jackson, MS)
Bethany Lutheran College (Mankato, MN)
Blinn College (Brenham, TX)
Bluefield College (Bluefield, VA)
Bob Jones University (Greenville, SC)
Cardinal Stritch University (Milwaukee, WI)
Cedarville University (Cedarville, OH)
Central Christian College of Kansas (McPherson, KS)
Charleston Southern University (Charleston, SC)
 class="name">Christ for the Nations Institute (Dallas, TX)
Columbia College (Columbia, MO)
Columbia College Chicago (Chicago, IL)
Cottey College (Nevada, MO)
Criswell College (Dallas, TX)
 class="name">Crossroads Bible College (Indianapolis, IN)
Crown College (St. Bonifacius, MN)
 class="name">Dominion College (Seattle , WA)
Eastern Mennonite University (Harrisonburg, VA)
Eastern University (St. Davids, PA)
Evangel University (Springfield, MO)
Franciscan University of Steubenville (Steubenville, OH)
Franklin Pierce University (Rindge, NH)
Gardner&#8211;Webb University (Boiling Springs, NC)
Geneva College (Beaver Falls, PA)
Goshen College (Goshen, IN)
Grove City College (Grove City, PA)
Harvard University (Cambridge, MA)
Houghton College (Houghton, NY)
Houston Baptist University (Houston, TX)
Huntington University (Huntington, IN)
John Brown University (Siloam Springs, AR)
Judson College (Marion, AL)
Lancaster Bible College (Lancaster, PA)
Landmark College (Putney, VT)
LeTourneau University (Longview, TX)
Liberty University (Lynchburg, VA)
Malone University (Canton, OH)
Messiah College (Grantham, PA)
Mitchell College (New London, CT)
Moody Bible Institute (Chicago, IL)
Multnomah University (Portland, OR)
 class="name">New St. Andrews College (Moscow, ID)
 class="name">Northland International University (Dunbar, WI)
Northwood University &#8212; Michigan Campus (Midland, MI)
Northwood University &#8212; Michigan Campus (Midland, MI)
Northwood University &#8212; Michigan Campus (Midland, MI)
Ohio Christian University (Circleville, OH)
Oklahoma Baptist University (Shawnee, OK)
Olivet Nazarene University (Bourbonnais, IL)
Ozark Christian College (Joplin, MO)
Patrick Henry College (Purcellville, VA)
Pensacola Christian College (Pensacola, FL)
Philadelphia Biblical University (Langhorne, PA)
Piedmont College (Demorest, GA)
Post University (Waterbury, CT)
Queens University of Charlotte (Charlotte, NC)
Regent University (Virginia Beach, VA)
Reinhardt University (Waleska, GA)
Schreiner University (Kerrville, TX)
Seattle Pacific University (Seattle, WA)
Seton Hill University (Greensburg, PA)
Simpson College (Indianola, IA)
Southeastern University (Lakeland, FL)
Southwest Baptist University (Bolivar, MO)
Taylor University (Upland, IN)
Tiffin University (Tiffin, OH)
Trevecca Nazarene University (Nashville, TN)
Trinity Christian College (Palos Heights, IL)
Union University (Jackson, TN)
United States Military Academy (West Point, NY)
Unity College (Unity, ME)
University of Central Arkansas (Conway, AR)
University of Charleston (Charleston, WV)
University of Maryland &#8212; Baltimore County (Baltimore, MD)
University of Southern California (Los Angeles, CA)
 class="name">Visible School Music & Worship Arts College (Lakeland, TN)
Warner University (Lake Wales, FL)
Waynesburg University (Waynesburg, PA)
Wentworth Institute of Technology (Boston, MA)
West Virginia University Institute of Technology (Montgomery, WV)
Willamette University (Salem, OR)
Wilson College (Chambersburg, PA)
