Aims Community College (Greeley, CO)
Arizona State University (Tempe, AZ)
Broward College (Fort Lauderdale, FL)
Community College of Beaver County (Monaca, PA)
Eastern New Mexico University (Portales, NM)
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL)
Florida Institute of Technology (Melbourne, FL)
Florida State College at Jacksonville (Jacksonville, FL)
Green River Community College (Auburn, WA)
Hampton University (Hampton, VA)
Hesston College (Hesston, KS)
Inter American University of Puerto Rico &#8212; Bayamon (Bayamon, PR)
Jacksonville University (Jacksonville, FL)
Kent State University (Kent, OH)
LeTourneau University (Longview, TX)
Lewis University (Romeoville, IL)
Metropolitan State College of Denver (Denver, CO)
Miami Dade College (Miami, FL)
Middle Georgia State College (Macon, GA)
Middle Tennessee State University (Murfreesboro, TN)
Minneapolis Community and Technical College (Minneapolis, MN)
Mt. San Antonio College (Walnut, CA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Sacramento City College (Sacramento, CA)
St. Cloud State University (St. Cloud, MN)
Texas State Technical College Waco (Waco, TX)
The Community College of Baltimore County (Baltimore , MD)
Tulsa Community College (Tulsa, OK)
University of Alaska Anchorage (Anchorage, AK)
University of North Dakota (Grand Forks, ND)
University of Oklahoma (Norman, OK)
Vaughn College of Aeronautics and Technology (Flushing, NY)
Western Michigan University (Kalamazoo, MI)
