Albion College (Albion, MI)
Allegheny College (Meadville, PA)
Alma College (Alma, MI)
Amherst College (Amherst, MA)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Beloit College (Beloit, WI)
Bowdoin College (Brunswick, ME)
Bryn Mawr College (Bryn Mawr, PA)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Claremont McKenna College (Claremont, CA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
College of the Holy Cross (Worcester, MA)
Colorado College (Colorado Springs, CO)
Connecticut College (New London, CT)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Denison University (Granville, OH)
Dickinson College (Carlisle, PA)
Earlham College (Richmond, IN)
Franklin & Marshall College (Lancaster, PA)
Gettysburg College (Gettysburg, PA)
Grinnell College (Grinnell, IA)
Hamilton College (Clinton, NY)
Hampshire College (Amherst, MA)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Hobart and William Smith Colleges (Geneva, NY)
Hope College (Holland, MI)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Lafayette College (Easton, PA)
Lake Forest College (Lake Forest, IL)
Lawrence University (Appleton, WI)
Luther College (Decorah, IA)
Macalester College (St. Paul, MN)
Manhattan College (Riverdale, NY)
Middlebury College (Middlebury, VT)
Mills College (Oakland, CA)
Mount Holyoke College (South Hadley, MA)
Oberlin College (Oberlin, OH)
Occidental College (Los Angeles, CA)
Ohio Wesleyan University (Delaware, OH)
Pomona College (Claremont, CA)
Reed College (Portland, OR)
Rhodes College (Memphis, TN)
Skidmore College (Saratoga Springs, NY)
Smith College (Northampton, MA)
Southwestern University (Georgetown, TX)
St. Lawrence University (Canton, NY)
St. Olaf College (Northfield, MN)
Swarthmore College (Swarthmore, PA)
The College of Wooster (Wooster, OH)
The University of the South (Sewanee, TN)
Trinity College (Hartford, CT)
Trinity University (San Antonio, TX)
Union College (Schenectady, NY)
Vassar College (Poughkeepsie, NY)
Wabash College (Crawfordsville, IN)
Washington College (Chestertown, MD)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Wheaton College (Wheaton, IL)
Wheaton College (Norton, MA)
Whitman College (Walla Walla, WA)
Whittier College (Whittier, CA)
Williams College (Williamstown, MA)
