Agnes Scott College (Decatur, GA)
Albion College (Albion, MI)
Alma College (Alma, MI)
Amherst College (Amherst, MA)
Augustana College (Rock Island, IL)
Austin College (Sherman, TX)
Bard College (Annandale on Hudson, NY)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Beloit College (Beloit, WI)
Berea College (Berea, KY)
Bowdoin College (Brunswick, ME)
Bryn Mawr College (Bryn Mawr, PA)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Claremont McKenna College (Claremont, CA)
Clark University (Worcester, MA)
Coe College (Cedar Rapids, IA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
College of St. Benedict (St. Joseph, MN)
College of the Holy Cross (Worcester, MA)
Colorado College (Colorado Springs, CO)
Connecticut College (New London, CT)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Denison University (Granville, OH)
Dickinson College (Carlisle, PA)
Drew University (Madison, NJ)
Earlham College (Richmond, IN)
Eckerd College (St. Petersburg, FL)
Franklin & Marshall College (Lancaster, PA)
Furman University (Greenville, SC)
Gettysburg College (Gettysburg, PA)
Grinnell College (Grinnell, IA)
Gustavus Adolphus College (St. Peter, MN)
Hamilton College (Clinton, NY)
Haverford College (Haverford, PA)
Hope College (Holland, MI)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Knox College (Galesburg, IL)
Lafayette College (Easton, PA)
Lake Forest College (Lake Forest, IL)
Lawrence University (Appleton, WI)
Macalester College (St. Paul, MN)
Manhattan College (Riverdale, NY)
Middlebury College (Middlebury, VT)
Mills College (Oakland, CA)
Morehouse College (Atlanta, GA)
Mount Holyoke College (South Hadley, MA)
Oberlin College (Oberlin, OH)
Occidental College (Los Angeles, CA)
Ohio Wesleyan University (Delaware, OH)
Randolph&#8211;Macon College (Ashland, VA)
Reed College (Portland, OR)
Rhodes College (Memphis, TN)
Rollins College (Winter Park, FL)
Sarah Lawrence College (Bronxville, NY)
Simmons University (Boston, MA)
Skidmore College (Saratoga Springs, NY)
Smith College (Northampton, MA)
Spelman College (Atlanta, GA)
St. John's University (Collegeville, MN)
St. Lawrence University (Canton, NY)
St. Olaf College (Northfield, MN)
Swarthmore College (Swarthmore, PA)
The College of Wooster (Wooster, OH)
The University of the South (Sewanee, TN)
Trinity College (Hartford, CT)
Trinity University (San Antonio, TX)
Union College (Schenectady, NY)
Vassar College (Poughkeepsie, NY)
Wabash College (Crawfordsville, IN)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Wheaton College (Norton, MA)
Whitman College (Walla Walla, WA)
Whittier College (Whittier, CA)
Willamette University (Salem, OR)
Williams College (Williamstown, MA)
