Augsburg College (Minneapolis, MN)
Augustana College (Rock Island, IL)
Augustana College (Sioux Falls, SD)
Bethany College (Lindsborg, KS)
California Lutheran University (Thousand Oaks, CA)
Capital University (Columbus, OH)
Carthage College (Kenosha, WI)
Concordia College &#8212; Moorhead (Moorhead, MN)
Concordia College &#8212; New York (Bronxville, NY)
Concordia University (Montreal, Quebec, CN)
Concordia University (Ann Arbor, MI)
Concordia University &#8212; Chicago (River Forest, IL)
Concordia University &#8212; Irvine (Irvine, CA)
Concordia University Texas (Austin, TX)
Concordia University Wisconsin (Mequon, WI)
Concordia University, Nebraska (Seward, NE)
Finlandia University (Hancock, MI)
Gettysburg College (Gettysburg, PA)
Grand View University (Des Moines, IA)
Gustavus Adolphus College (St. Peter, MN)
Lenoir&#8211;Rhyne University (Hickory, NC)
Luther College (Decorah, IA)
Midland University (Fremont, NE)
Muhlenberg College (Allentown, PA)
Newberry College (Newberry, SC)
Pacific Lutheran University (Tacoma, WA)
Roanoke College (Salem, VA)
St. Olaf College (Northfield, MN)
Susquehanna University (Selinsgrove, PA)
Texas Lutheran University (Seguin, TX)
Thiel College (Greenville, PA)
University of Regina (Regina, CN)
Valparaiso University (Valparaiso, IN)
Wagner College (Staten Island, NY)
Waldorf College (Forest City, IA)
Wartburg College (Waverly, IA)
Wisconsin Lutheran College (Milwaukee, WI)
Wittenberg University (Springfield, OH)
