Barry University (Miami Shores, FL)
Bowling Green State University (Bowling Green, OH)
Buena Vista University (Storm Lake, IA)
Canisius College (Buffalo, NY)
Castleton State College (Castleton, VT)
Clemson University (Clemson, SC)
Colby&#8211;Sawyer College (New London, NH)
College of Mount St. Joseph (Cincinnati, OH)
Elon University (Elon, NC)
Endicott College (Beverly, MA)
Flagler College (St. Augustine, FL)
Florida Southern College (Lakeland, FL)
Franklin Pierce University (Rindge, NH)
Guilford College (Greensboro, NC)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
Lasell College (Newton, MA)
Lock Haven University of Pennsylvania (Lock Haven, PA)
Lynchburg College (Lynchburg, VA)
Lynn University (Boca Raton, FL)
Mercyhurst University (Erie, PA)
Miami University &#8212; Oxford (Oxford, OH)
Niagara University (Niagara University, NY)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio University (Athens, OH)
Old Dominion University (Norfolk, VA)
Pfeiffer University (Misenheimer, NC)
Point Park University (Pittsburgh, PA)
Quincy University (Quincy, IL)
Robert Morris University (Moon Township, PA)
SUNY College at Oneonta (Oneonta, NY)
Sacred Heart University (Fairfield, CT)
Saint Leo University (Saint Leo, FL)
Samford University (Birmingham, AL)
Seton Hall University (South Orange, NJ)
Southeast Missouri State University (Cape Girardeau, MO)
Southern New Hampshire University (Manchester, NH)
Springfield College (Springfield, MA)
St. Mary's College of California (Moraga, CA)
Stetson University (Deland, FL)
Syracuse University (Syracuse, NY)
Temple University (Philadelphia, PA)
Texas A&M University &#8212; College Station (College Station, TX)
Thomas College (Waterville, ME)
Tiffin University (Tiffin, OH)
University of Central Florida (Orlando, FL)
University of Georgia (Athens, GA)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Massachusetts Amherst (Amherst, MA)
University of Memphis (Memphis, TN)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Tampa (Tampa, FL)
University of Tennessee at Knoxville (Knoxville, TN)
University of the Pacific (Stockton, CA)
Valparaiso University (Valparaiso, IN)
West Chester University of Pennsylvania (West Chester, PA)
Western New England University (Springfield, MA)
Xavier University (Cincinnati, OH)
