Butler University (Indianapolis, IN)
Duke University (Durham, NC)
Georgetown University (Washington, DC)
Georgia Institute of Technology (Atlanta, GA)
Indiana University Bloomington (Bloomington, IN)
Michigan State University (East Lansing, MI)
Ohio State University &#8212; Columbus (Columbus, OH)
Seton Hall University (South Orange, NJ)
Syracuse University (Syracuse, NY)
The University of Arizona (Tucson, AZ)
The University of Utah (Salt Lake City, UT)
University of Arkansas (Fayetteville, AR)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Connecticut (Storrs, CT)
University of Florida (Gainesville, FL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Kansas (Lawrence, KS)
University of Kentucky (Lexington, KY)
University of Louisville (Louisville, KY)
University of Maryland, College Park (College Park, MD)
University of Memphis (Memphis, TN)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Nevada, Las Vegas (Las Vegas, NV)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oklahoma (Norman, OK)
University of Wisconsin &#8212; Madison (Madison, WI)
Villanova University (Villanova, PA)
