Augusta University (Augusta, GA)
Augustana University (Sioux Falls, SD)
Barton College (Wilson, NC)
Bellarmine University (Louisville, KY)
Brigham Young University &#8212; Hawaii (Laie, HI)
Bryant University (Smithfield, RI)
California State Polytechnic University, Pomona (Pomona, CA)
California State University &#8212; Bakersfield (Bakersfield, CA)
Drury University (Springfield, MO)
Florida Southern College (Lakeland, FL)
Fort Hays State University (Hays, KS)
Gannon University (Erie, PA)
Indiana University Bloomington (Bloomington, IN)
Jacksonville State University (Jacksonville, AL)
Kennesaw State University (Kennesaw, GA)
Kentucky Wesleyan College (Owensboro, KY)
Lincoln Memorial University (Harrogate, TN)
Metropolitan State College of Denver (Denver, CO)
North Carolina Central University (Durham, NC)
Northeastern State University (Tahlequah, OK)
Northern Kentucky University (Highland Heights, KY)
Sacred Heart University (Fairfield, CT)
South Dakota State University (Brookings, SD)
Southeast Missouri State University (Cape Girardeau, MO)
Troy University (Troy, AL)
University of Bridgeport (Bridgeport, CT)
University of California, Davis (Davis, CA)
University of California, Riverside (Riverside, CA)
University of Central Missouri (Warrensburg, MO)
University of Findlay (Findlay, OH)
University of Montevallo (Montevallo, AL)
University of North Alabama (Florence, AL)
University of Southern Indiana (Evansville, IN)
Virginia Union University (Richmond, VA)
Washburn University (Topeka, KS)
West Liberty University (West Liberty, WV)
Western Washington University (Bellingham, WA)
Winona State University (Winona, MN)
