Amherst College (Amherst, MA)
Augustana College (Rock Island, IL)
Benedictine University (Lisle, IL)
Cabrini University (Radnor, PA)
Calvin University (Grand Rapids, MI)
Clark University (Worcester, MA)
DePauw University (Greencastle, IN)
Elizabethtown College (Elizabethtown, PA)
Franklin & Marshall College (Lancaster, PA)
Gustavus Adolphus College (St. Peter, MN)
Hampden&#8211;Sydney College (Hampden-Sydney, VA)
Hope College (Holland, MI)
Illinois Wesleyan University (Bloomington, IL)
LeMoyne&#8211;Owen College (Memphis, TN)
Lebanon Valley College (Annville, PA)
Manchester University (North Manchester, IN)
Nebraska Wesleyan University (Lincoln, NE)
New York University (New York, NY)
North Park University (Chicago, IL)
Ohio Northern University (Ada, OH)
Ohio Wesleyan University (Delaware, OH)
Otterbein University (Westerville, OH)
Rowan University (Glassboro, NJ)
SUNY &#8212; Potsdam (Potsdam, NY)
Stockton University (Galloway, NJ)
The Catholic University of America (Washington, DC)
The College of New Jersey (Ewing, NJ)
The College of Wooster (Wooster, OH)
The University of Scranton (Scranton, PA)
University of Mary Hardin&#8211;Baylor (Belton, TX)
University of Rochester (Rochester, NY)
University of St. Thomas (St. Paul, MN)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Platteville (Platteville, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
Virginia Wesleyan University (Virginia Beach, VA)
Washington University in St. Louis (St. Louis, MO)
William Paterson University of New Jersey (Wayne, NJ)
Williams College (Williamstown, MA)
Wittenberg University (Springfield, OH)
