Adrian College (Adrian, MI)
Alaska Pacific University (Anchorage, AK)
Albion College (Albion, MI)
Albright College (Reading, PA)
Allegheny College (Meadville, PA)
American University (Washington, DC)
Baker University (Baldwin City, KS)
Bennett College (Greensboro, NC)
Bethune&#8211;Cookman University (Daytona Beach, FL)
Birmingham&#8211;Southern College (Birmingham, AL)
Brevard College (Brevard, NC)
Centenary College of Louisiana (Shreveport, LA)
Centenary University (Hackettstown, NJ)
Central Christian College of Kansas (McPherson, KS)
Central Methodist University (Fayette, MO)
Claflin University (Orangeburg, SC)
Clark Atlanta University (Atlanta, GA)
Columbia College (Columbia, SC)
Cornell College (Mount Vernon, IA)
Dakota Wesleyan University (Mitchell, SD)
Drew University (Madison, NJ)
Duke University (Durham, NC)
Emory & Henry College (Emory, VA)
Emory University (Atlanta, GA)
Ferrum College (Ferrum, VA)
Florida Southern College (Lakeland, FL)
Greensboro College (Greensboro, NC)
Greenville University (Greenville, IL)
Hamline University (St. Paul, MN)
Hendrix College (Conway, AR)
High Point University (High Point, NC)
Huntingdon College (Montgomery, AL)
Iowa Wesleyan College (Mount Pleasant, IA)
Kansas Wesleyan University (Salina, KS)
Kentucky Wesleyan College (Owensboro, KY)
LaGrange College (LaGrange, GA)
Lane College (Jackson, TN)
Lebanon Valley College (Annville, PA)
Lindsey Wilson College (Columbia, KY)
Lycoming College (Williamsport, PA)
MacMurray College (Jacksonville, IL)
Martin Methodist College (Pulaski, TN)
McKendree University (Lebanon, IL)
McMurry University (Abilene, TX)
Methodist University (Fayetteville, NC)
Miles College (Fairfield, AL)
Millsaps College (Jackson, MS)
Morningside College (Sioux City, IA)
Morris Brown College (Atlanta, GA)
Nebraska Methodist College (Omaha, NE)
Nebraska Wesleyan University (Lincoln, NE)
North Carolina Wesleyan College (Rocky Mount, NC)
North Central College (Naperville, IL)
Ohio Northern University (Ada, OH)
Ohio Wesleyan University (Delaware, OH)
Oklahoma City University (Oklahoma City, OK)
Otterbein University (Westerville, OH)
Paine College (Augusta, GA)
Pfeiffer University (Misenheimer, NC)
Philander Smith College (Little Rock, AR)
Randolph College (Lynchburg, VA)
Randolph&#8211;Macon College (Ashland, VA)
Reinhardt University (Waleska, GA)
Roberts Wesleyan College (Rochester, NY)
Rust College (Holly Springs, MS)
Seattle Pacific University (Seattle, WA)
Shenandoah University (Winchester, VA)
Simpson College (Indianola, IA)
Southern Methodist University (Dallas, TX)
Southwestern College (Winfield, KS)
Southwestern University (Georgetown, TX)
Spring Arbor University (Spring Arbor, MI)
Tennessee Wesleyan College (Athens, TN)
Texas Wesleyan University (Fort Worth, TX)
Union College (Barbourville, KY)
University of Evansville (Evansville, IN)
University of Indianapolis (Indianapolis, IN)
University of Mount Union (Alliance, OH)
Virginia Wesleyan College (Norfolk, VA)
Wesleyan College (Macon, GA)
West Virginia Wesleyan College (Buckhannon, WV)
Wilberforce University (Wilberforce, OH)
Wiley College (Marshall, TX)
Willamette University (Salem, OR)
Wofford College (Spartanburg, SC)
Young Harris College (Young Harris, GA)
