Ball State University (Muncie, IN)
Binghamton University, The State University of New York (Binghamton, NY): men's tennis only
Bowling Green State University (Bowling Green, OH)
Central Michigan University (Mount Pleasant, MI)
Eastern Michigan University (Ypsilanti, MI)
Kent State University (Kent, OH)
Longwood University (Farmville, VA): field hockey only
Miami University &#8212; Oxford (Oxford, OH)
Missouri State University (Springfield, MO): field hockey and men's swimming only
Northern Illinois University (DeKalb, IL)
Ohio University (Athens, OH)
Old Dominion University (Norfolk, VA): wrestling only
SUNY &#8212; University at Buffalo (Buffalo, NY)
Southern Illinois University &#8212; Carbondale (Carbondale, IL): men's swimming only
University of Akron (Akron, OH)
University of Evansville (Evansville, IN): men's swimming only
University of Massachusetts Amherst (Amherst, MA): football only
University of Missouri &#8212; Columbia (Columbia, MO): wrestling only
University of Northern Iowa (Cedar Falls, IA): wrestling only
University of Toledo (Toledo, OH)
West Virginia University (Morgantown, WV): men's soccer only
Western Michigan University (Kalamazoo, MI)
