California Maritime Academy (Vallejo, CA)
 class="name">Great Lakes Maritime Academy (Traverse City, MI)
Maine Maritime Academy (Castine, ME)
Mary Baldwin College (Staunton, VA)
Massachusetts Maritime Academy (Buzzards Bay, MA)
North Georgia College and State University (Dahlonega, GA)
Norwich University (Northfield, VT)
SUNY &#8212; Maritime College (Throggs Neck, NY)
Texas A&M University &#8212; College Station (College Station, TX)
 class="name">Texas Maritime Academy (Galveston, TX)
The Citadel (Charleston, SC)
United States Air Force Academy (USAF Academy, CO)
United States Coast Guard Academy (New London, CT)
United States Merchant Marine Academy (Kings Point, NY)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
Virginia Military Institute (Lexington, VA)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Georgia Military College (Milledgeville, GA)
Marion Military Institute (Marion, AL)
New Mexico Military Institute (Roswell, NM)
Valley Forge Military College (Wayne, PA)
 class="name">Wentworth Military Academy & Junior College (MO)
