Christendom College (Front Royal, VA)
College of the Ozarks (Point Lookout, MO)
Colorado Christian University (Lakewood, CO)
Franciscan University of Steubenville (Steubenville, OH)
Grove City College (Grove City, PA)
Harding University (Searcy, AR)
Hillsdale College (Hillsdale, MI)
Liberty University (Lynchburg, VA)
Ohio Christian University (Circleville, OH)
Patrick Henry College (Purcellville, VA)
Regent University (Virginia Beach, VA)
Saint Vincent College (Latrobe, PA)
The King's College (New York, NY)
Thomas Aquinas College (Santa Paula, CA)
Thomas More College of Liberal Arts (Merrimack, NH)
Wisconsin Lutheran College (Milwaukee, WI)
