Boston College (Chestnut Hill, MA)
Dallas Baptist University (Dallas, TX)
Duke University (Durham, NC)
Fashion Institute of Design & Merchandising (Los Angeles, CA)
Indiana University Bloomington (Bloomington, IN)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Michigan State University (East Lansing, MI)
Northeastern University (Boston, MA)
Ohio State University &#8212; Columbus (Columbus, OH)
Otis College of Art and Design (Los Angeles, CA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rutgers, the State University of New Jersey &#8212; Newark (Newark, NJ)
Texas A&M University &#8212; College Station (College Station, TX)
The University of Arizona (Tucson, AZ)
The University of Texas at Austin (Austin, TX)
University of Florida (Gainesville, FL)
University of Iowa (Iowa City, IA)
University of Kentucky (Lexington, KY)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Oklahoma (Norman, OK)
University of Oregon (Eugene, OR)
University of Pittsburgh (Pittsburgh, PA)
University of Southern California (Los Angeles, CA)
University of Tennessee at Knoxville (Knoxville, TN)
University of Vermont (Burlington, VT)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
West Virginia University (Morgantown, WV)
