Amherst College (Amherst, MA)
Bowdoin College (Brunswick, ME)
Brown University (Providence, RI)
Colby College (Waterville, ME)
College of the Ozarks (Point Lookout, MO)
Columbia University (New York, NY)
Davidson College (Davidson, NC)
Harvard University (Cambridge, MA)
Haverford College (Haverford, PA)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
University of Pennsylvania (Philadelphia, PA)
Vanderbilt University (Nashville, TN)
Washington and Lee University (Lexington, VA)
Yale University (New Haven, CT)
