American University (Washington, DC)
Boston University (Boston, MA)
Bucknell University (Lewisburg, PA)
Colgate University (Hamilton, NY)
College of the Holy Cross (Worcester, MA)
Fordham University (Bronx, NY): football only
Georgetown University (Washington, DC): football and women's rowing only
Lafayette College (Easton, PA)
Lehigh University (Bethlehem, PA)
Loyola University Maryland (Baltimore, MD)
Massachusetts Institute of Technology (Cambridge, MA): women's rowing only
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of Richmond (University of Richmond, VA): women's golf only
