Azusa Pacific University (Azusa, CA)
Bethel College (Mishawaka, IN)
Bethel University (St. Paul, MN)
Biola University (La Mirada, CA)
Calvin University (Grand Rapids, MI)
Campbell University (Buies Creek, NC)
College of the Ozarks (Point Lookout, MO)
Evangel University (Springfield, MO)
George Fox University (Newberg, OR)
Grove City College (Grove City, PA)
Judson College (Marion, AL)
Judson University (Elgin, IL)
Palm Beach Atlantic University (West Palm Beach, FL)
Point Loma Nazarene University (San Diego, CA)
Seattle Pacific University (Seattle, WA)
Taylor University (Upland, IN)
Wheaton College (Wheaton, IL)
