Baldwin Wallace University (Berea, OH)
Ball State University (Muncie, IN)
Barry University (Miami Shores, FL)
Boston University (Boston, MA)
Brigham Young University &#8212; Provo (Provo, UT)
Carnegie Mellon University (Pittsburgh, PA)
Elon University (Elon, NC)
Emerson College (Boston, MA)
Illinois Wesleyan University (Bloomington, IL)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
James Madison University (Harrisonburg, VA)
Johnson State College (Johnson, VT)
Marymount Manhattan College (New York, NY)
Millikin University (Decatur, IL)
Missouri State University (Springfield, MO)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Ohio Northern University (Ada, OH)
Otterbein University (Westerville, OH)
Pace University (New York, NY)
Pennsylvania State University &#8212; University Park (University Park, PA)
Point Park University (Pittsburgh, PA)
Rider University (Lawrenceville, NJ)
Rockford University (Rockford, IL)
Shenandoah University (Winchester, VA)
Southern Methodist University (Dallas, TX)
The Catholic University of America (Washington, DC)
The Florida State University (Tallahassee, FL)
The University of Alabama (Tuscaloosa, AL)
Tulane University (New Orleans, LA)
University of Cincinnati (Cincinnati, OH)
University of Evansville (Evansville, IN)
University of Hartford (West Hartford, CT)
University of Miami (Coral Gables, FL)
University of Oklahoma (Norman, OK)
University of Redlands (Redlands, CA)
University of the Arts (Philadelphia, PA)
Wagner College (Staten Island, NY)
Webster University (St. Louis, MO)
Wilkes University (Wilkes-Barre, PA)
Wright State University (Dayton, OH)
York University (Toronto, Ontario, CAN)
