Agnes Scott College (Decatur, GA)
Alma College (Alma, MI)
Arcadia University (Glenside, PA)
Austin College (Sherman, TX)
Barber&#8211;Scotia College (Concord, NC)
Belhaven University (Jackson, MS)
Blackburn College (Carlinville, IL)
Bloomfield College (Bloomfield, NJ)
Buena Vista University (Storm Lake, IA)
Carroll University (Waukesha, WI)
Centre College (Danville, KY)
Coe College (Cedar Rapids, IA)
Davidson College (Davidson, NC)
Davis & Elkins College (Elkins, WV)
Eckerd College (St. Petersburg, FL)
Hanover College (Hanover, IN)
Hastings College (Hastings, NE)
Illinois College (Jacksonville, IL)
Jamestown College (Jamestown, ND)
Johnson C. Smith University (Charlotte, NC)
King College (Bristol, TN)
Lake Forest College (Lake Forest, IL)
Lees&#8211;McRae College (Banner Elk, NC)
Lyon College (Batesville, AR)
Macalester College (St. Paul, MN)
Mary Baldwin College (Staunton, VA)
Maryville College (Maryville, TN)
Missouri Valley College (Marshall, MO)
Monmouth College (Monmouth, IL)
Montreat College (Montreat, NC)
Muskingum University (New Concord, OH)
Presbyterian College (Clinton, SC)
Queens University of Charlotte (Charlotte, NC)
Rhodes College (Memphis, TN)
Rocky Mountain College (Billings, MT)
Schreiner University (Kerrville, TX)
St. Andrews University (Laurinburg, NC)
Stillman College (Tuscaloosa, AL)
The College of Idaho (Caldwell, ID)
The College of Wooster (Wooster, OH)
The University of Tulsa (Tulsa, OK)
Trinity University (San Antonio, TX)
Tusculum College (Greeneville, TN)
University of Dubuque (Dubuque, IA)
University of Pikeville (Pikeville, KY)
University of the Ozarks (Clarksville, AR)
Warren Wilson College (Asheville, NC)
Waynesburg University (Waynesburg, PA)
Westminster College (Fulton, MO)
Westminster College (New Wilmington, PA)
Westminster College (Salt Lake City, UT)
Whitworth College (Spokane, WA)
William Peace University (Raleigh, NC)
Wilson College (Chambersburg, PA)
