Alverno College (Milwaukee, WI)
American University of Puerto Rico (Bayamon, PR)
Aurora University (Aurora, IL)
Azusa Pacific University (Azusa, CA)
Barry University (Miami Shores, FL)
Bloomfield College (Bloomfield, NJ)
Boricua College (New York, NY)
Caldwell University (Caldwell, NJ)
California Baptist University (Riverside, CA)
California Lutheran University (Thousand Oaks, CA)
Cambridge College (Boston, MA)
Caribbean University (Bayamon, PR)
Carlos Albizu University &#8212; Miami (Miami, FL)
Carlos Albizu University &#8212; San Juan (San Juan, PR)
College of Mount St. Vincent (Bronx, NY)
Concordia University &#8212; Chicago (River Forest, IL)
Concordia University Texas (Austin, TX)
Dewey University &#8212; Carolina (Carolina, PR)
Dominican University (River Forest, IL)
Fairleigh Dickinson University (Teaneck, NJ)
Felician University (Lodi, NJ)
Fresno Pacific University (Fresno, CA)
Heritage University (Toppenish, WA)
Hodges University (Naples, FL)
Holy Names University (Oakland, CA)
Hope International University (Fullerton, CA)
Houston Baptist University (Houston, TX)
Huston&#8211;Tillotson University (Austin, TX)
Inter American University of Puerto Rico &#8212; Aguadilla (Aguadilla, PR)
Inter American University of Puerto Rico &#8212; Arecibo (Arecibo, PR)
Inter American University of Puerto Rico &#8212; Barranquitas (Barranquitas, PR)
Inter American University of Puerto Rico &#8212; Bayamon (Bayamon, PR)
Inter American University of Puerto Rico &#8212; Fajardo (Fajardo, PR)
Inter American University of Puerto Rico &#8212; Guayama (Guayama, PR)
Inter American University of Puerto Rico &#8212; Metro (San Juan, PR)
Inter American University of Puerto Rico &#8212; Ponce (Mercedita, PR)
Inter American University of Puerto Rico &#8212; San German (San German, PR)
La Sierra University (Riverside, CA)
Life Pacific University (San Dimas, CA)
Loma Linda University (Loma Linda, CA)
Manhattanville College (Purchase, NY)
Marymount California University (Rancho Palos Verdes, CA)
McMurry University (Abilene, TX)
Menlo College (Atherton, CA)
Mercy College (Dobbs Ferry, NY)
Metropolitan College of New York (New York, NY)
Mid&#8211;America Christian University (Oklahoma City, OK)
Mills College (Oakland, CA)
Mount Saint Mary's University (Los Angeles, CA)
National Louis University (Chicago, IL)
National University (La Jolla, CA)
North Park University (Chicago, IL)
Notre Dame de Namur University (Belmont, CA)
Nyack College (New York, NY)
Our Lady of the Lake University (San Antonio, TX)
Pacific Oaks College (Pasadena, CA)
Pacific Union College (Angwin, CA)
Robert Morris University (Chicago, IL)
Rush University (Chicago, IL)
Saint Joseph Seminary College (Saint Benedict, LA)
Saint Mary's College of California (Moraga, CA)
Saint Peter's University (Jersey City, NJ)
San Diego Christian College (Santee, CA)
Schreiner University (Kerrville, TX)
Southwestern Adventist University (Keene, TX)
St. Thomas University (Miami, FL)
St. Xavier University (Chicago, IL)
Texas Lutheran University (Seguin, TX)
Texas Wesleyan University (Fort Worth, TX)
Trinity International University &#8212; Florida (Miami, FL)
Trinity Washington University (Washington, DC)
Union Institute & University (Cincinnati, OH)
University of La Verne (La Verne, CA)
University of Redlands (Redlands, CA)
University of St. Thomas (Houston, TX)
University of the Incarnate Word (San Antonio, TX)
University of the Southwest (Hobbs, NM)
Warner Pacific University (Portland, OR)
Wayland Baptist University (Plainview, TX)
Whittier College (Whittier, CA)
Woodbury University (Burbank, CA)
