Boston College (Chestnut Hill, MA)
Cleveland State University (Cleveland, OH)
Fitchburg State University (Fitchburg, MA)
Johns Hopkins University (Baltimore, MD)
Monmouth University (West Long Branch, NJ)
Quinnipiac University (Hamden, CT)
University of Central Oklahoma (Edmond, OK)
University of Colorado Colorado Springs (Colorado Springs, CO)
University of Scranton (Scranton, PA)
University of Washington, Seattle (Seattle, WA)
Vanderbilt University (Nashville, TN)
Xavier University (Cincinnati, OH)
