Albion College (Albion, MI)
Augsburg College (Minneapolis, MN)
Bard College (Annandale on Hudson, NY)
Bethany College (Bethany, WV)
Boston University (Boston, MA)
Carnegie Mellon University (Pittsburgh, PA)
Clark University (Worcester, MA)
Curry College (Milton, MA)
Daemen College (Amherst, NY)
Defiance College (Defiance, OH)
Earlham College (Richmond, IN)
Florida Atlantic University (Boca Raton, FL)
Furman University (Greenville, SC)
Guilford College (Greensboro, NC)
Harvey Mudd College (Claremont, CA)
Keene State College (Keene, NH)
Landmark College (Putney, VT)
Limestone College (Gaffney, SC)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Marist College (Poughkeepsie, NY)
Marshall University (Huntington, WV)
Massachusetts, University of, Lowell (Lowell, MA)
Mitchell College (New London, CT)
Moravian College (Bethlehem, PA)
Muskingum University (New Concord, OH)
Northeastern University (Boston, MA)
Oregon Institute of Technology (Klamath Falls, OR)
Quinnipiac University (Hamden, CT)
Sarah Lawrence College (Bronxville, NY)
Southeastern Louisiana University (Hammond, LA)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
St. Andrews University (Laurinburg, NC)
The University of Arizona (Tucson, AZ)
Tufts University (Medford, MA)
University of Central Florida (Orlando, FL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Massachusetts Boston (Boston, MA)
University of Montevallo (Montevallo, AL)
University of Puget Sound (Tacoma, WA)
University of Rochester (Rochester, NY)
University of San Diego (San Diego, CA)
University of Southern Mississippi (Hattiesburg, MS)
University of the Ozarks (Clarksville, AR)
Westminster College (Fulton, MO)
Worcester Polytechnic Institute (Worcester, MA)
