Bennington College (Bennington, VT)
Boston University (Boston, MA)
Columbia University (New York, NY)
Elon University (Elon, NC)
Kenyon College (Gambier, OH)
Northwestern University (Evanston, IL)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio University (Athens, OH)
Sarah Lawrence College (Bronxville, NY)
Syracuse University (Syracuse, NY)
University of Missouri &#8212; Columbia (Columbia, MO)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Pennsylvania (Philadelphia, PA)
Arizona State University (Tempe, AZ)
Bard College (Annandale on Hudson, NY)
Beloit College (Beloit, WI)
Harvard University (Cambridge, MA)
Indiana University Bloomington (Bloomington, IN)
New York University (New York, NY)
Oberlin College (Oberlin, OH)
Quinnipiac University (Hamden, CT)
St. John's University (Queens, NY)
Susquehanna University (Selinsgrove, PA)
The University of Montana (Missoula, MT)
University of Colorado, Boulder (Boulder, CO)
University of Georgia (Athens, GA)
University of Iowa (Iowa City, IA)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Miami (Coral Gables, FL)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Notre Dame (Notre Dame, IN)
University of Oregon (Eugene, OR)
University of Puget Sound (Tacoma, WA)
University of Rochester (Rochester, NY)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Southern California (Los Angeles, CA)
Washington College (Chestertown, MD)
Washington State University (Pullman, WA)
Wesleyan University (Middletown, CT)
