Albany State University (Albany, GA): 1 semester
Alice Lloyd College (Pippa Passes, KY): 1 semester
Allen College (Waterloo, IA): 1 semester
Allen University (Columbia, SC): 1 semester
Appalachian Bible College (Mount Hope, WV): 1 semester
Arkansas Tech University (Russellville, AR): 1 semester
Art Center College of Design (Pasadena, CA): 1 semester
Aurora University (Aurora, IL): 1 semester
Beacon College (Leesburg, FL): 1 semester
Bethel University (St. Paul, MN): 1 semester
Blessing&#8211;Rieman College of Nursing (Quincy, IL): 1 semester
Blue Mountain College (Blue Mountain, MS): 1 semester
Brevard College (Brevard, NC): 1 semester
Brewton&#8211;Parker College (Mount Vernon, GA): 1 semester
CUNY &#8212; Brooklyn College (Brooklyn, NY): 1 semester
CUNY &#8212; Hunter College (New York, NY): 1 semester
CUNY &#8212; John Jay College of Criminal Justice (New York, NY): 1 semester
CUNY &#8212; Lehman College (Bronx, NY): 1 semester
CUNY &#8212; Medgar Evers College (Brooklyn, NY): 1 semester
CUNY &#8212; New York City College of Technology (Brooklyn, NY): 1 semester
CUNY &#8212; York College (Jamaica, NY): 1 semester
Caldwell University (Caldwell, NJ): 1 semester
California College of the Arts (San Francisco, CA): 1 semester
California State University, San Bernardino (San Bernardino, CA): 3 weeks into quarter
California University of Pennsylvania (California, PA): 1 semester
Campbellsville University (Campbellsville, KY): 1 semester
Capella University (Minneapolis, MN): 90 days
Cardinal Stritch University (Milwaukee, WI): 6 months
Centenary University (Hackettstown, NJ): 1 semester
Cleveland Institute of Music (Cleveland, OH): 1 semester
Columbus College of Art and Design (Columbus, OH): 1 term
Concord University (Athens, WV): 1 semester
Concordia University &#8212; Chicago (River Forest, IL): 1 semester
Concordia University &#8212; Irvine (Irvine, CA): 1 semester
Coppin State University (Baltimore, MD): 1 semester
Dakota State University (Madison, SD): 1 semester
Delaware State University (Dover, DE): 1 semester
Dickinson State University (Dickinson, ND): 1 semester
Dixie State University (Saint George, UT): 1 semester
Dominican University (River Forest, IL): 1 semester
Dominican University of California (San Rafael, CA): 1 semester
East Carolina University (Greenville, NC): 1 semester
Eastern Kentucky University (Richmond, KY): 8 weeks after classes begin
Eastern New Mexico University (Portales, NM): 1 semester
Fayetteville State University (Fayetteville, NC): 1 semester
Florida Polytechnic University (Lakeland, FL): 1 semester
Franciscan Missionaries of Our Lady University (Baton Rouge, LA): 1 semester
Georgia State University (Atlanta, GA): 1 semester
Glenville State College (Glenville, WV): 1 semester
Grand View University (Des Moines, IA): 1 semester
Henderson State University (Arkadelphia, AR): 1 semester
Howard University (Washington, DC): 1 semester
Humboldt State University (Arcata, CA): 1 term
Huntingdon College (Montgomery, AL): 1 semester
Kansas Wesleyan University (Salina, KS): 1 semester
Kean University (Union, NJ): 1 semester
LaGrange College (LaGrange, GA): 1 semester
Lake Erie College (Painesville, OH): 1 semester
Lancaster Bible College (Lancaster, PA): 1 semester
LeMoyne&#8211;Owen College (Memphis, TN): 1 semester
Lee University (Cleveland, TN): 1 semester
Lincoln Memorial University (Harrogate, TN): 1 semester
Lincoln University (Jefferson City, MO): 1 semester
Livingstone College (Salisbury, NC): 1 semester
Long Island University &#8212; C.W. Post Campus (Brookville, NY): 1 semester
Louisiana College (Pineville, LA): 1 semester
Louisiana Tech University (Ruston, LA): 1 quarter
Lyon College (Batesville, AR): 1 semester
Marymount Manhattan College (New York, NY): 1 semester
Mayville State University (Mayville, ND): 1 term
McNeese State University (Lake Charles, LA): 1 semester
Michigan State University (East Lansing, MI): 1 semester
Mid&#8211;Atlantic Christian University (Elizabeth City, NC): 1 semester
Mississippi University for Women (Columbus, MS): 1 semester
Missouri Valley College (Marshall, MO): 1 semester
Montana Tech of the University of Montana (Butte, MT): 1 semester
Morehead State University (Morehead, KY): 1 semester
Morris Brown College (Atlanta, GA): 1 semester
Morris College (Sumter, SC): 1 semester
Nebraska Christian College (Papillion, NE): 1 semester
Nicholls State University (Thibodaux, LA): 1 semester
North Carolina Wesleyan College (Rocky Mount, NC): 1 semester
Northeastern State University (Tahlequah, OK): 1 semester
Northern State University (Aberdeen, SD): 1 semester
Northwest Missouri State University (Maryville, MO): 1 term
Northwest University (Kirkland, WA): 1 semester
Oglethorpe University (Atlanta, GA): 1 semester
Palm Beach Atlantic University (West Palm Beach, FL): 1 semester
Patrick Henry College (Purcellville, VA): 1 semester
Patten University (Oakland, CA): 1 semester
Pfeiffer University (Misenheimer, NC): 1 semester
Point University (West Point, GA): 1 semester
Resurrection University (Chicago, IL): 1 semester
Ritsumeikan Asia Pacific University (Beppu, Oita, JP): 1 semester
Rivier University (Nashua, NH): 1 semester
Rockford University (Rockford, IL): 1 semester
Rowan University (Glassboro, NJ): 1 semester
Rust College (Holly Springs, MS): 1 semester
Sacred Heart Major Seminary (Detroit, MI): 1 semester
Saint Augustine's University (Raleigh, NC): 1 semester
Salem State University (Salem, MA): 1 semester
Savannah State University (Savannah, GA): 1 semester
Schreiner University (Kerrville, TX): 1 semester
Shawnee State University (Portsmouth, OH): 1 semester
South Carolina State University (Orangeburg, SC): 1 semester
South Dakota School of Mines and Technology (Rapid City, SD): 1 semester
Southern Wesleyan University (Central, SC): 1 semester
St. Ambrose University (Davenport, IA): 1 semester
St. Andrews University (Laurinburg, NC): 1 semester
St. Thomas University (Fredericton, New Brunswick, CN): 1 semester
Sterling College (Sterling, KS): 1 semester
Sul Ross State University (Alpine, TX): 1 semester
Tennessee Technological University (Cookeville, TN): 1 semester
Texas Wesleyan University (Fort Worth, TX): 1 semester
The American University in Cairo (New Cairo, EG): 1 semester
The Art Institute of Atlanta (Atlanta, GA): 1 quarter
The College of St. Rose (Albany, NY): 1 semester
The Evergreen State College (Olympia, WA): 1 quarter
The University of Tampa (Tampa, FL): 1 semester
Trinity Christian College (Palos Heights, IL): 1 semester
University of Arkansas at Monticello (Monticello, AR): 1 semester
University of Connecticut (Storrs, CT): 1 semester
University of Hawaii &#8212; West Oahu (Kapolei, HI): 1 semester
University of Hawaii at Hilo (Hilo, HI): 1 semester
University of Holy Cross (New Orleans, LA): 1 semester
University of Houston &#8212; Victoria (Victoria, TX): 1 semester
University of Jamestown (Jamestown, ND): 1 semester
University of Louisiana at Lafayette (Lafayette, LA): 1 semester
University of Mary Hardin&#8211;Baylor (Belton, TX): 1 semester
University of Minnesota at Crookston (Crookston, MN): 1 semester
University of North Dakota (Grand Forks, ND): 1 semester
University of Puerto Rico &#8212; Arecibo (Arecibo, PR): 1 semester
University of Puerto Rico &#8212; Humacao (Humacao, PR): 1 semester
University of Saint Francis (Fort Wayne, IN): 1 semester
University of South Carolina &#8212; Beaufort (Bluffton, SC): 1 semester
University of Southern Indiana (Evansville, IN): 1 semester
University of Tennessee at Chattanooga (Chattanooga, TN): 1 semester
University of Texas at El Paso (El Paso, TX): 1 semester
University of Washington, Bothell (Bothell, WA): 1 quarter
University of Wisconsin &#8212; Platteville (Platteville, WI): 1 semester
University of the District of Columbia (Washington, DC): 1 semester
University of the Incarnate Word (San Antonio, TX): 1 semester
University of the Virgin Islands (Charlotte Amalie, VI): 1 semester
Utah Valley University (Orem, UT): 1 semester
Vaughn College of Aeronautics and Technology (Flushing, NY): 1 term
Virginia State University (Petersburg, VA): 1 semester
Virginia Wesleyan University (Virginia Beach, VA): 1 semester
Viterbo University (La Crosse, WI): 1 semester
Voorhees College (Denmark, SC): 1 semester
Waldorf University (Forest City, IA): 1 semester
Watkins College of Art (Nashville, TN): 1 semester
Wayne State College (Wayne, NE): 1 semester
Webber International University (Babson Park, FL): 1 semester
West Texas A&M University (Canyon, TX): 1 semester
West Virginia State University (Institute, WV): 1 semester
Westfield State University (Westfield, MA): 1 semester
Wheeling Jesuit University (Wheeling, WV): 1 semester
William Paterson University of New Jersey (Wayne, NJ): 1 semester
Winthrop University (Rock Hill, SC): 1 semester
Wisconsin Lutheran College (Milwaukee, WI): 1 semester
