Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Clemson University (Clemson, SC)
Cornell University (Ithaca, NY)
Duke University (Durham, NC)
Harvard University (Cambridge, MA)
James Madison University (Harrisonburg, VA)
Johns Hopkins University (Baltimore, MD)
Massachusetts Institute of Technology (Cambridge, MA)
Michigan State University (East Lansing, MI)
Northeastern University (Boston, MA)
Stanford University (Stanford, CA)
Swarthmore College (Swarthmore, PA)
Tufts University (Medford, MA)
University of Massachusetts Amherst (Amherst, MA)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
