Alverno College (Milwaukee, WI)
Berea College (Berea, KY)
Butler University (Indianapolis, IN)
Dartmouth College (Hanover, NH)
Drexel University (Philadelphia, PA)
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL)
Georgia Institute of Technology (Atlanta, GA)
Johnson & Wales University at Denver (Denver, CO)
Kalamazoo College (Kalamazoo, MI)
Kettering University (Flint, MI)
Keuka College (Keuka Park, NY)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Massachusetts Institute of Technology (Cambridge, MA)
Massachusetts Maritime Academy (Buzzards Bay, MA)
Merrimack College (North Andover, MA)
New York University (New York, NY)
Northeastern University (Boston, MA)
Northwood University &#8212; Michigan Campus (Midland, MI)
Pace University (New York, NY)
Pennsylvania State University &#8212; University Park (University Park, PA)
Prescott College (Prescott, AZ)
Rochester Institute of Technology (Rochester, NY)
Sterling College (Craftsbury Common, VT)
Texas Tech University (Lubbock, TX)
The Evergreen State College (Olympia, WA)
University of Alabama, Huntsville (Huntsville, AL)
University of Cincinnati (Cincinnati, OH)
University of Houston (Houston, TX)
University of Massachusetts Amherst (Amherst, MA)
University of Toledo (Toledo, OH)
University of Washington, Seattle (Seattle, WA)
University of Waterloo (Waterloo, Ontario, CN)
Warren Wilson College (Asheville, NC)
Wentworth Institute of Technology (Boston, MA)
Wilberforce University (Wilberforce, OH)
