Agnes Scott College (Decatur, GA)
Augustana College (Rock Island, IL)
Boston University (Boston, MA)
Colgate University (Hamilton, NY)
Connecticut College (New London, CT)
DePauw University (Greencastle, IN)
Earlham College (Richmond, IN)
Grinnell College (Grinnell, IA)
Guilford College (Greensboro, NC)
Lewis and Clark College (Portland, OR)
Northwestern University (Evanston, IL)
Pomona College (Claremont, CA)
Smith College (Northampton, MA)
Swarthmore College (Swarthmore, PA)
The University of Arizona (Tucson, AZ)
The University of New Mexico (Albuquerque, NM)
The University of Texas at Austin (Austin, TX)
United States Air Force Academy (USAF Academy, CO)
University of California, Berkeley (Berkeley, CA)
University of Chicago (Chicago, IL)
University of Colorado, Boulder (Boulder, CO)
University of Hawaii at Hilo (Hilo, HI)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Oregon (Eugene, OR)
University of Toledo (Toledo, OH)
Vassar College (Poughkeepsie, NY)
Wesleyan University (Middletown, CT)
Whitman College (Walla Walla, WA)
