Amherst College (Amherst, MA)
Beloit College (Beloit, WI)
Christopher Newport University (Newport News, VA)
Concordia College &#8212; Moorhead (Moorhead, MN)
Guilford College (Greensboro, NC)
Hardin&#8211;Simmons University (Abilene, TX)
Hope College (Holland, MI)
Howard Payne University (Brownwood, TX)
Messiah College (Grantham, PA)
Middlebury College (Middlebury, VT)
Mississippi College (Clinton, MS)
Mount Holyoke College (South Hadley, MA)
Ohio Wesleyan University (Delaware, OH)
Ottawa University (Ottawa, KS)
Stillman College (Tuscaloosa, AL)
Trinity University (San Antonio, TX)
University of Puget Sound (Tacoma, WA)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Stout (Menomonie, WI)
Wabash College (Crawfordsville, IN)
Wheaton College (Wheaton, IL)
