Agnes Scott College (Decatur, GA)
Davidson College (Davidson, NC)
Emory University (Atlanta, GA)
Furman University (Greenville, SC)
Hollins University (Roanoke, VA)
Rhodes College (Memphis, TN)
Rice University (Houston, TX)
Rollins College (Winter Park, FL)
Sewanee: The University of the South (Sewanee, TN)
Southern Methodist University (Dallas, TX)
Stetson University (Deland, FL)
Texas Christian University (Fort Worth, TX)
Trinity University (San Antonio, TX)
Tulane University (New Orleans, LA)
Vanderbilt University (Nashville, TN)
Wake Forest University (Winston Salem, NC)
Washington and Lee University (Lexington, VA)
