Adelphi University (Garden City, NY)
Amherst College (Amherst, MA)
Arizona State University (Tempe, AZ)
Beloit College (Beloit, WI)
Bennington College (Bennington, VT)
Boston University (Boston, MA)
Bryn Mawr College (Bryn Mawr, PA)
California Institute of the Arts (Valencia, CA)
California State University &#8212; Fullerton (Fullerton, CA)
California State University &#8212; Long Beach (Long Beach, CA)
Chapman University (Orange, CA)
Cornell University (Ithaca, NY)
Cornish College of the Arts (Seattle, WA)
East Carolina University (Greenville, NC)
Emory University (Atlanta, GA)
Fordham University (New York, NY)
George Mason University (Fairfax, VA)
Goucher College (Baltimore, MD)
Hamilton College (Clinton, NY)
Hobart and William Smith Colleges (Geneva, NY)
Hollins University (Roanoke, VA)
Juilliard School (New York, NY)
Kenyon College (Gambier, OH)
Lewis and Clark College (Portland, OR)
Marymount Manhattan College (New York, NY)
Mercyhurst University (Erie, PA)
Mills College (Oakland, CA)
Mount Holyoke College (South Hadley, MA)
Muhlenberg College (Allentown, PA)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Pitzer College (Claremont, CA)
Pomona College (Claremont, CA)
Roger Williams University (Bristol, RI)
San Jose State University (San Jose, CA)
Santa Clara University (Santa Clara, CA)
Sarah Lawrence College (Bronxville, NY)
Scripps College (Claremont, CA)
Smith College (Northampton, MA)
St. Mary's College of California (Moraga, CA)
The Boston Conservatory (Boston, MA)
The George Washington University (Washington, DC)
The University of Texas at Austin (Austin, TX)
The University of Utah (Salt Lake City, UT)
Trinity College (Hartford, CT)
Tulane University (New Orleans, LA)
University of California, Irvine (Irvine, CA)
University of California, Riverside (Riverside, CA)
University of Colorado, Boulder (Boulder, CO)
University of Hawaii at Manoa (Honolulu, HI)
University of Idaho (Moscow, ID)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of Missouri &#8212; Kansas City (Kansas City, MO)
University of North Carolina School of the Arts (Winston-Salem, NC)
University of Oklahoma (Norman, OK)
University of Oregon (Eugene, OR)
University of San Francisco (San Francisco, CA)
University of South Florida (Tampa, FL)
University of Southern California (Los Angeles, CA)
University of Washington, Seattle (Seattle, WA)
University of the Arts (Philadelphia, PA)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Wayne State University (Detroit, MI)
West Texas A&M University (Canyon, TX)
Williams College (Williamstown, MA)
