Arizona State University (Tempe, AZ)
Bryant University (Smithfield, RI)
Clark University (Worcester, MA)
Duquesne University (Pittsburgh, PA)
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL)
Ithaca College (Ithaca, NY)
Massachusetts Bay Community College (Wellesley Hills, MA)
Massachusetts Maritime Academy (Buzzards Bay, MA)
New England College (Henniker, NH)
Northern Arizona University (Flagstaff, AZ)
Northern Michigan University (Marquette, MI)
Ohio University (Athens, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Rhode Island College (Providence, RI)
Saint Anselm College (Manchester, NH)
Saint Vincent College (Latrobe, PA)
University of Iowa (Iowa City, IA)
University of Oregon (Eugene, OR)
University of Pennsylvania (Philadelphia, PA)
University of Pittsburgh (Pittsburgh, PA)
University of Virginia (Charlottesville, VA)
