School of Architecture at Taliesin, The (Scottsdale, AZ): 20
Divine Word College (Epworth, IA): 55
Pacific States University (Los Angeles, CA): 55
Kentucky Mountain Bible College (Jackson, KY): 71
Paier College of Art (Hamden, CT): 83
Magdalen College of the Liberal Arts (Warner, NH): 89
St. Louis Christian College (Florissant, MO): 90
Design Institute of San Diego (San Diego, CA): 98
American Baptist College (Nashville, TN): 101
Antioch College (Yellow Springs, OH): 102
St. John's Seminary (Brighton, MA): 113
Boise Bible College (Boise, ID): 119
Schiller International University (Largo, FL): 133
Huntingdon University of Health Sciences (Knoxville, TN): 136
Kuyper College (Grand Rapids, MI): 160
Art Academy of Cincinnati (Cincinnati, OH): 167
Hellenic College (Brookline, MA): 167
Arlington Baptist University (Arlington, TX): 171
Wyoming Catholic College (Lander, WY): 177
Watkins College of Art (Nashville, TN): 193
Mid&#8211;Atlantic Christian University (Elizabeth City, NC): 205
Trinity College of Florida (Trinity, FL): 205
Johnson University Florida (Kissimmee, FL): 206
Appalachian Bible College (Mount Hope, WV): 206
Longy School of Music (Cambridge, MA): 220
Lakeview College of Nursing (Danville, IL): 223
Emmaus Bible College (Dubuque, IA): 238
Platt College &#8212; Aurora (Aurora, CO): 247
Potomac, University of the (Washington, DC): 253
VanderCook College of Music (Chicago, IL): 262
Criswell College (Dallas, TX): 264
Judson College (Marion, AL): 268
Virginia University of Lynchburg (Lynchburg, VA): 278
Blessing&#8211;Rieman College of Nursing (Quincy, IL): 284
The American University of Rome (Rome, IT): 307
John Paul the Great Catholic University (Escondido, CA): 308
Patrick Henry College (Purcellville, VA): 309
Bryn Athyn College (Bryn Athyn, PA): 318
Grace Christian University (Wyoming, MI): 329
College of the Atlantic (Bar Harbor, ME): 337
Sweet Briar College (Sweet Briar, VA): 337
Bethany Global University (Bloomington, MN): 342
Sofia University (Palo Alto, CA): 363
Warner Pacific University (Portland, OR): 368
St. John's College (Santa Fe, NM): 371
San Francisco Art Institute (San Francisco, CA): 381
Hebrew College (Newton Centre, MA): 389
Franklin W. Olin College of Engineering (Needham, MA): 390
Calvary University (Kansas City, MO): 397
