Babson College (Babson Park, MA)
Bard College (Annandale on Hudson, NY)
Bard College at Simon's Rock (Great Barrington, MA)
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Bennington College (Bennington, VT)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowdoin College (Brunswick, ME)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
Bryn Mawr College (Bryn Mawr, PA)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Carnegie Mellon University (Pittsburgh, PA)
Claremont McKenna College (Claremont, CA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
Columbia University (New York, NY)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Dickinson College (Carlisle, PA)
Fordham University (New York, NY)
Franklin & Marshall College (Lancaster, PA)
Franklin W. Olin College of Engineering (Needham, MA)
Georgetown University (Washington, DC)
Hampshire College (Amherst, MA)
Harvard University (Cambridge, MA)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Hobart and William Smith Colleges (Geneva, NY)
Johns Hopkins University (Baltimore, MD)
Lafayette College (Easton, PA)
Landmark College (Putney, VT)
Middlebury College (Middlebury, VT)
Mount Holyoke College (South Hadley, MA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Parsons The New School for Design (New York, NY)
Pitzer College (Claremont, CA)
Rensselaer Polytechnic Institute (Troy, NY)
Sarah Lawrence College (Bronxville, NY)
Scripps College (Claremont, CA)
Skidmore College (Saratoga Springs, NY)
Smith College (Northampton, MA)
St. John's College (Annapolis, MD)
Stevens Institute of Technology (Hoboken, NJ)
The George Washington University (Washington, DC)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
Union College (Schenectady, NY)
University of Chicago (Chicago, IL)
University of Rochester (Rochester, NY): Eastman School of Music
University of Southern California (Los Angeles, CA)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
