Boston College (Chestnut Hill, MA)
Clemson University (Clemson, SC)
Duke University (Durham, NC)
Florida State University (Tallahassee, FL)
Georgia Institute of Technology (Atlanta, GA)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Syracuse University (Syracuse, NY)
University of Louisville (Louisville, KY)
University of Miami (Coral Gables, FL)
University of Notre Dame (Notre Dame, IN)
University of Pittsburgh (Pittsburgh, PA)
University of Virginia (Charlottesville, VA)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Wake Forest University (Winston Salem, NC)
