University of Florida (Gainesville, FL)
Boston College (Chestnut Hill, MA)
The University of Texas at Austin (Austin, TX)
The University of Alabama (Tuscaloosa, AL)
Western Kentucky University (Bowling Green, KY)
St. Louis University (St. Louis, MO)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
The Ohio State University &#8212; Columbus (Columbus, OH)
University of Wisconsin &#8212; Madison (Madison, WI)
Florida State University (Tallahassee, FL)
University of South Carolina &#8212; Columbia (Columbia, SC)
Wake Forest University (Winston Salem, NC)
University of North Carolina School of the Arts (Winston-Salem, NC)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Iowa (Iowa City, IA)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
California State University, Los Angeles (Los Angeles, CA)
Dartmouth College (Hanover, NH)
Louisiana State University (Baton Rouge, LA)
Syracuse University (Syracuse, NY)
University of California, Irvine (Irvine, CA)
University of Colorado, Boulder (Boulder, CO)
Georgia Institute of Technology (Atlanta, GA)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
Texas A&M University &#8212; College Station (College Station, TX)
University of Pittsburgh (Pittsburgh, PA)
University of California, Santa Cruz (Santa Cruz, CA)
Rhode Island School of Design (Providence, RI)
University of Miami (Coral Gables, FL)
University of Tennessee at Knoxville (Knoxville, TN)
University of Oklahoma (Norman, OK)
Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Michigan State University (East Lansing, MI)
Texas Christian University (Fort Worth, TX)
Duke University (Durham, NC)
University of Notre Dame (Notre Dame, IN)
Texas Tech University (Lubbock, TX)
West Virginia University (Morgantown, WV)
Stanford University (Stanford, CA)
University of Southern California (Los Angeles, CA)
University of Georgia (Athens, GA)
Wichita State University (Wichita, KS)
