Butler University (Indianapolis, IN)
Creighton University (Omaha, NE)
DePaul University (Chicago, IL)
Georgetown University (Washington, DC)
Marquette University (Milwaukee, WI)
Old Dominion University (Norfolk, VA): field hockey only
Providence College (Providence, RI)
Seton Hall University (South Orange, NJ)
St. John's University (Queens, NY)
Temple University (Philadelphia, PA): field hockey and women's lacrosse only
University of Cincinnati (Cincinnati, OH): women's lacrosse only
University of Connecticut (Storrs, CT): field hockey and women's lacrosse only
University of Denver (Denver, CO)
University of Florida (Gainesville, FL): women's lacrosse only
Vanderbilt University (Nashville, TN): women's lacrosse only
Villanova University (Villanova, PA)
Xavier University (Cincinnati, OH)
