Barnard College (New York, NY)
Bates College (Lewiston, ME)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Bryn Mawr College (Bryn Mawr, PA)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Carnegie Mellon University (Pittsburgh, PA)
Claremont McKenna College (Claremont, CA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
College of William & Mary  (Williamsburg, VA)
Cornell University (Ithaca, NY)
Curtis Institute of Music (Philadelphia, PA)
Dartmouth College (Hanover , NH)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Franklin W. Olin College of Engineering (Needham, MA)
Georgetown University (Washington, DC)
Harvey Mudd College (Claremont, CA)
Haverford College (Haverford, PA)
Johns Hopkins University (Baltimore, MD)
Juilliard School (New York, NY)
Middlebury College (Middlebury, VT)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Rice University (Houston, TX)
Tufts University (Medford, MA)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of California, San Diego (La Jolla, CA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Washington University (St. Louis, MO)
Wellesley College (Wellesley, MA)
Wesleyan University (MIddletown , CT)
