Chapman University (Orange, CA)
Elon University (Elon, NC)
Goucher College (Baltimore, MD)
High Point University (High Point, NC)
Hofstra University (Hempstead, NY)
Indiana University Bloomington (Bloomington, IN)
Loyola Marymount University (Los Angeles, CA)
Lynn University (Boca Raton, FL)
Stanford University (Stanford, CA)
The Evergreen State College (Olympia, WA)
The University of Arizona (Tucson, AZ)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Florida (Gainesville, FL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Minnesota Duluth (Duluth, MN)
University of Southern California (Los Angeles, CA)
