American University (Washington, DC)
Bard College (Annandale on Hudson, NY)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Carnegie Mellon University (Pittsburgh, PA)
Catawba College (Salisbury, NC)
Chapman University (Orange, CA)
Columbia College Chicago (Chicago, IL)
DePaul University (Chicago, IL)
Elon University (Elon, NC)
Emerson College (Boston, MA)
Fordham University (Bronx, NY)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
Juilliard School (New York, NY)
Kenyon College (Gambier, OH)
Marymount Manhattan College (New York, NY)
Muhlenberg College (Allentown, PA)
New York University (New York, NY)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Pace University (New York, NY)
Roosevelt University (Chicago, IL)
SUNY &#8212; Purchase College (Purchase, NY)
Sarah Lawrence College (Bronxville, NY)
Skidmore College (Saratoga Springs, NY)
Syracuse University (Syracuse, NY)
Temple University (Philadelphia, PA)
The University of the Arts (Philadelphia, PA)
Tulane University (New Orleans, LA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Northern Colorado (Greeley, CO)
University of Southern California (Los Angeles, CA)
Vassar College (Poughkeepsie, NY)
Wesleyan University (Middletown, CT)
Yale University (New Haven, CT)
