Boston University (Boston, MA)
Brown University (Providence, RI)
Carnegie Mellon University (Pittsburgh, PA)
Cornell University (Ithaca, NY)
Kenyon College (Gambier, OH)
New York University (New York, NY)
Sarah Lawrence College (Bronxville, NY)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
American University (Washington, DC)
Bard College (Annandale on Hudson, NY)
Boston College (Chestnut Hill, MA)
Bryn Mawr College (Bryn Mawr, PA)
Colby&#8211;Sawyer College (New London, NH)
Columbia University (New York, NY)
Goucher College (Baltimore, MD)
Humboldt State University (Arcata, CA)
Humboldt State University (Arcata, CA)
Macalester College (St. Paul, MN)
Middlebury College (Middlebury, VT)
Savannah College of Art and Design (Savannah, GA)
Scripps College (Claremont, CA)
Skidmore College (Saratoga Springs, NY)
Southern Methodist University (Dallas, TX)
Syracuse University (Syracuse, NY)
The Cooper Union for the Advancement of Science and Art (New York, NY)
The University of Chicago (Chicago, IL)
Tufts University (Medford, MA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Oregon (Eugene, OR)
University of Rochester (Rochester, NY)
University of Washington, Seattle (Seattle, WA)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Wesleyan University (Middletown, CT)
Yale University (New Haven, CT)
