American University (Washington, DC)
Brandeis University (Waltham, MA)
Bucknell University (Lewisburg, PA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Duke University (Durham, NC)
Elon University (Elon, NC)
Emory University (Atlanta, GA)
Furman University (Greenville, SC)
Georgetown University (Washington, DC)
High Point University (High Point, NC)
Hofstra University (Hempstead, NY)
Miami University &#8212; Oxford (Oxford, OH)
New York University (New York, NY)
Syracuse University (Syracuse, NY)
Texas Christian University (Fort Worth, TX)
The George Washington University (Washington, DC)
Tulane University (New Orleans, LA)
University of Miami (Coral Gables, FL)
University of Richmond (University of Richmond, VA)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
Washington University in St. Louis (St. Louis, MO)
Southern Methodist University (Dallas, TX): The Top Choice
Vanderbilt University (Nashville, TN): The Second Choice
Rollins College (Winter Park, FL): The Third Choice (tie)
Wake Forest University (Winston Salem, NC): The Third Choice (tie)
