American University (Washington, DC)
Beloit College (Beloit, WI)
Chapman University (Orange, CA)
Fort Lewis College (Durango, CO)
Ithaca College (Ithaca, NY)
Knox College (Galesburg, IL)
Loyola Marymount University (Los Angeles, CA)
Santa Clara University (Santa Clara, CA)
Seattle University (Seattle, WA)
Boston University (Boston, MA)
Bucknell University (Lewisburg, PA)
Carroll University (Waukesha, WI)
Clark University (Worcester, MA)
Cornell College (Mount Vernon, IA)
Denison University (Granville, OH)
Earlham College (Richmond, IN)
Gonzaga University (Spokane, WA)
Goucher College (Baltimore, MD)
Hartwick College (Oneonta, NY)
Hobart and William Smith Colleges (Geneva, NY)
Juniata College (Huntingdon, PA)
Kalamazoo College (Kalamazoo, MI)
Lake Forest College (Lake Forest, IL)
Lawrence University (Appleton, WI)
Lehigh University (Bethlehem, PA)
Lewis and Clark College (Portland, OR)
Linfield College (McMinnville, OR)
Luther College (Decorah, IA)
Marist College (Poughkeepsie, NY)
Nazareth College of Rochester (Rochester, NY)
Northern Arizona University (Flagstaff, AZ)
Occidental College (Los Angeles, CA)
Pacific Lutheran University (Tacoma, WA)
Pitzer College (Claremont, CA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Regis University (Denver, CO)
Smith College (Northampton, MA)
St. Martin's University (Lacey, WA)
St. Mary's College of California (Moraga, CA)
Susquehanna University (Selinsgrove, PA)
The College of Idaho (Caldwell, ID)
The College of Wooster (Wooster, OH)
University of Denver (Denver, CO)
University of Maine (Orono, ME)
University of Northern Colorado (Greeley, CO)
University of Puget Sound (Tacoma, WA)
University of Redlands (Redlands, CA)
University of Rochester (Rochester, NY)
University of San Diego (San Diego, CA)
University of Wisconsin &#8212; Madison (Madison, WI)
Ursinus College (Collegeville, PA)
Villanova University (Villanova, PA)
Wheaton College (Norton, MA)
Widener University (Chester, PA)
Willamette University (Salem, OR)
