Agnes Scott College (Decatur, GA)
American University (Washington, DC)
Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Bucknell University (Lewisburg, PA)
Carleton College (Northfield, MN)
Claremont McKenna College (Claremont, CA)
Colgate University (Hamilton, NY)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Davidson College (Davidson, NC)
Dickinson College (Carlisle, PA)
Duke University (Durham, NC)
Elon University (Elon, NC)
Emory University (Atlanta, GA)
Franklin & Marshall College (Lancaster, PA)
Georgetown University (Washington, DC)
Hamilton College (Clinton, NY)
Harvard University (Cambridge, MA)
Haverford College (Haverford, PA)
Lehigh University (Bethlehem, PA)
Macalester College (St. Paul, MN)
Northwestern University (Evanston, IL)
Oberlin College (Oberlin, OH)
Pomona College (Claremont, CA)
Princeton University (Princeton, NJ)
Rhodes College (Memphis, TN)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
The George Washington University (Washington, DC)
The University of Alabama (Tuscaloosa, AL)
Tulane University (New Orleans, LA)
University of Massachusetts Amherst (Amherst, MA)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Richmond (University of Richmond, VA)
Wellesley College (Wellesley, MA)
Wofford College (Spartanburg, SC)
