Reed College (Portland, OR): Top Choices
St. John's College (Annapolis, MD): Top Choices
St. John's College (Santa Fe, NM): Top Choices
Swarthmore College (Swarthmore, PA): Top Choices
University of Chicago (Chicago, IL): Top Choices
Amherst College (Amherst, MA): Second Choices
Bard College (Annandale on Hudson, NY): Second Choices
Brown University (Providence, RI): Second Choices
Haverford College (Haverford, PA): Second Choices
Oberlin College (Oberlin, OH): Second Choices
Pomona College (Claremont, CA): Second Choices
Vassar College (Poughkeepsie, NY): Second Choices
Wesleyan University (Middletown, CT): Second Choices
Beloit College (Beloit, WI): Third Choices
Bryn Mawr College (Bryn Mawr, PA): Third Choices
Carleton College (Northfield, MN): Third Choices
Colorado College (Colorado Springs, CO): Third Choices
Grinnell College (Grinnell, IA): Third Choices
Hampshire College (Amherst, MA): Third Choices
Kenyon College (Gambier, OH): Third Choices
Middlebury College (Middlebury, VT): Third Choices
Pitzer College (Claremont, CA): Third Choices
Sarah Lawrence College (Bronxville, NY): Third Choices
Wellesley College (Wellesley, MA): Third Choices
Williams College (Williamstown, MA): Third Choices
Yale University (New Haven, CT): Third Choices
Barnard College (New York, NY)
Bates College (Lewiston, ME)
Bowdoin College (Brunswick, ME)
California Institute of Technology (Pasadena, CA)
Colby College (Waterville, ME)
College of William and Mary (Williamsburg, VA)
Columbia University (New York, NY)
Cornell College (Mount Vernon, IA)
Davidson College (Davidson, NC)
Deep Springs College (Big Pine, CA)
Denison University (Granville, OH)
Earlham College (Richmond, IN)
Georgetown University (Washington, DC)
Goucher College (Baltimore, MD)
Guilford College (Greensboro, NC)
Hamilton College (Clinton, NY)
Harvard University (Cambridge, MA)
Knox College (Galesburg, IL)
Lafayette College (Easton, PA)
Lawrence University (Appleton, WI)
Massachusetts Institute of Technology (Cambridge, MA)
New College of Florida (Sarasota, FL)
Occidental College (Los Angeles, CA)
Princeton University (Princeton, NJ)
 class="name">4. Quest University (Squamish, BC (CAN))
Rhodes College (Memphis, TN)
The College of Wooster (Wooster, OH)
Tufts University (Medford, MA)
University of California, Berkeley (Berkeley, CA)
 class="name">4. University of King's College (Halifax, Nova Scotia, CAN)
University of Pennsylvania (Philadelphia, PA)
Washington University in St. Louis (St. Louis, MO)
Whitman College (Walla Walla, WA)
