Alabama State University (Montgomery, AL)
Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Auburn University (Auburn, AL)
Chicago State University (Chicago, IL)
Clemson University (Clemson, SC)
Colgate University (Hamilton, NY)
Colorado College (Colorado Springs, CO)
Elon University (Elon, NC)
Florida Atlantic University (Boca Raton, FL)
Florida State University (Tallahassee, FL)
Indiana University Bloomington (Bloomington, IN)
Miami University &#8212; Oxford (Oxford, OH)
Ohio University (Athens, OH)
Rollins College (Winter Park, FL)
Southern Methodist University (Dallas, TX)
Syracuse University (Syracuse, NY)
The University of Arizona (Tucson, AZ)
The University of Texas at Austin (Austin, TX)
Tulane University (New Orleans, LA)
University of Colorado Boulder (Boulder, CO)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Missouri &#8212; Columbia (Columbia, MO)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
